public_identifier;num_accomplishment_publications;name;publisher;published_on;description;url
%7Eazain;2;;Moment Journal;null;"Populism remains a vaguely defined concept having porous boundaries though widely mentioned as a terminology in the literature. It is often associated with democracy; however, the theorists mainly depend on a specific political context to describe populism (Mouzelis, 1985; Taguieff, 1995). This context carries such features as the distasteful involvement of a highly emotional but simple political rhetoric and opportunistic policies aimed to seek votes only (Mudde, 2004), and most importantly a\u2026";https://www.researchgate.net/publication/334114323_RISE_OF_MODI'S_TECH-POPULISM_IN_INDIA
%7Eazain;3;;Kettering Foundation;null;"The book is the Urdu translation of \""The Ecology of Democracy\"", originally authored by David Mathews, translated by Ali Zain and edited by Nauman Tasleem Khan. All rights reserved by Kettering Foundation.";https://www.researchgate.net/publication/333651466_Urdu_Translation_of_The_Ecology_of_Democracy
%7Eazain;4;;1st National Conference on Emerging Trends and Challenges in Social Sciences;null;Cultural continuity and mass media: An analysis of leading English online newspapers of Pakistan Abstract Cultural continuity has been identified as one of the primary functions of mass media (McQuail, 1983). This paper has investigated leading Pakistani online English newspapers to assess their role in transmission of cultural images. The population of this paper comprised of lifestyle pages of online English dailies. The lifestyle pages are considered as showcase of cultural selection of a\u2026;https://www.researchgate.net/publication/332751897_Cultural_continuity_and_mass_media_An_analysis_of_leading_English_online_newspapers_of_Pakistan
%7Eazain;5;;LAP LAMBERT Academic Publishing;null;As cultural continuity has been identified as one of the primary functions of mass media institutions, this study thoroughly examines leading Pakistani online English newspapers in terms of their role to transmit local cultural values to the next generation. The lifestyle pages which are considered as showcase of cultural selection of newspaper, have been quantitatively analyzed. The study found that 74% images on the pages were found to be representing non-Pakistani culture while 6% of them\u2026;https://www.researchgate.net/publication/332752014_Cultural_Continuity_Mass_Media_An_analysis_of_leading_online_newspapers_of_Pakistan
%7Ejarnold;1;;null;null;null;http://www.cchem.berkeley.edu/jagrp/pubs.php
%7Emanishgupta;1;;IGI Global Inc., Hershey, Pennsylvania, USA;30-04-2012;ISBN-10: 1466609788 | ISBN-13: 978-1466609785;http://www.amazon.com/Threats-Countermeasures-Advances-Information-Security/dp/1466609788/ref=sr_1_10?s=books&ie=UTF8&qid=1361912156&sr=1-10&keywords=%22manish+gupta%22
%7Emanishgupta;2;;IGI Global Inc., Hershey, Pennsylvania, USA;29-02-2012;ISBN13: 9781466601970, ISBN10: 1466601973, EISBN13: 9781466601987;http://www.amazon.com/Strategic-Practical-Approaches-Information-Governance/dp/1466601973/
%7Emanishgupta;3;;"Idea Group Pub; 1 edition (December 31, 2011)";15-10-2011;DOI: 10.4018/978-1-61350-498-7, ISBN13: 9781613504987, ISBN10: 1613504985, EISBN13: 9781613504994;http://www.amazon.com/Digital-Identity-Access-Management-Technologies/dp/1613504985/
%7Emanishgupta;4;;Information Science Reference (November 20, 2008);20-11-2008;ISBN-10: 1605661325ISBN-13: 978-1605661322;http://www.amazon.com/Handbook-Research-Organizational-Liabilities-Information/dp/1605661325/
%7Emanishgupta;5;;Information Science Reference (September 10, 2008);10-09-2008;"ISBN: 978-1-60566-036-3 hardcover; 978-1-60566-037-0 soft-cover";http://www.amazon.com/Social-Human-Elements-Information-Security/dp/1605660361/
%7Emanishgupta;6;;Idea Group Publishing Inc;30-05-2007;ISBN-10: 1599041715 | ISBN-13: 978-1599041711;http://www.amazon.com/Managing-Information-Assurance-Financial-Services/dp/1599041715/
%7Estay%7Epositive%7E;1;;Micro and Nano Technologies;31-01-2019;null;null
%7Estay%7Epositive%7E;2;;Solid State Chemistry;31-08-2018;null;null
%7Estay%7Epositive%7E;3;;The Chemical Record;31-05-2018;null;null
%7Estay%7Epositive%7E;4;;Materials Nanoarchitectonics;31-01-2018;null;null
%7Estay%7Epositive%7E;5;;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY (conference proceeding);31-12-2017;null;null
%7Estay%7Epositive%7E;6;;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY (conference proceeding);31-12-2017;null;null
%7Estay%7Epositive%7E;7;;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY (conference proceeding);31-12-2017;null;null
%7Estay%7Epositive%7E;8;;Science and Technology of Advanced Materials;28-02-2017;null;null
%7Estay%7Epositive%7E;9;;XVI International Clay Conference (conference proceeding);31-12-2016;null;null
%7Estay%7Epositive%7E;10;;(in review);null;null;null
%7Estay%7Epositive%7E;11;;(in review);null;null;null
%7Eufarooq;1;;In Proceedings of The 16th ACM International Conference on Mobile Systems, Applications, and Services,(MobiSys) Munich, Germany, 2018. 13 Pages;10-07-2018;Portable devices, like smartphones and tablets, are often subject to runtime configuration changes, such as screen orientation changes, screen resizing, keyboard attachments, and language switching. When handled improperly, such simple changes can cause serious runtime issues, from data loss to app crashes.This work presents, to our best knowledge, the first formative study on runtime change handling with 3,567 Android apps. The study not only reveals the current landscape of runtime change...;https://doi.org/10.1145/3210240.3210327
%7Eufarooq;2;;In Proceedings of The 24th ACM International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS);null;null;null
%C2%A0rosa-anna-defilippis-1939541a;1;;Neoplasia;31-03-2013;null;null
%C2%A0rosa-anna-defilippis-1939541a;2;;Breast Cancer Research;07-01-2013;null;http://breast-cancer-research.com/content/14/6/R155
%C2%A0rosa-anna-defilippis-1939541a;3;;Cancer Discovery;31-12-2012;null;null
%C2%A0rosa-anna-defilippis-1939541a;4;36;Cancer Discovery;30-09-2012;null;null
%C2%A0rosa-anna-defilippis-1939541a;5;;Bioinformatics;30-04-2009;null;null
%C2%A0rosa-anna-defilippis-1939541a;6;07;Cancer Research;31-05-2004;null;null
%C2%A0rosa-anna-defilippis-1939541a;7;06-53;Journal of Virology;30-04-2004;null;null
%C2%A0rosa-anna-defilippis-1939541a;8;06-07;Journal of Virology;31-01-2003;null;null
%C2%A0rosa-anna-defilippis-1939541a;9;02-53-03-25;Cell Growth and Differentiation;30-06-1999;null;null
%C3%A1bner-magalh%C3%A3es-nunes-4a8870197;1;;Journal of Molecular Liquids;01-11-2019;The present study is devoted to the investigation of reorientation properties of 8CB liquid crystal samples doped with gold nanorods with distinct aspect ratios. By using an optical experimental setup to probe the electro-optic response of twist cells under an AC electric field, we measure the characteristic switch times and Freedericksz threshold of doped nematic liquid crystals. The effects associated with the surface plasmon resonance and disorder induced by the metallic guest particles are analyzed. Further, we exploit the Gooch-Tarry conditions and Mauguin minima to account the thermal dependence of nematic birefringence in pristine and doped samples. Our results show that the electro-optical and thermal parameters of twisted nematic cells are strongly affected by the addition of gold nanorods.;https://doi.org/10.1016/j.molliq.2019.111704
%C3%A1bner-magalh%C3%A3es-nunes-4a8870197;2;;Toxicology;01-02-2019;Gold nanorods (AuNRs) have been studied extensively in biomedicine due to their biocompatibility and their unique properties. Some studies reported that AuNRs selectively accumulate on cancer cell mitochondria causing its death. However, the immediate effects of this accumulation needed further investigations. In this context, we evaluated the effect of AuNRs on the mitochondrial integrity of isolated rat liver mitochondria. We verified that AuNRs decreased the mitochondrial respiratory ratio by decreasing the phosphorylation and maximal states. Additionally, AuNRs caused a decrease in the production of mitochondrial ROS and a delay in mitochondrial swelling. Moreover, even with cyclosporine A treatment, AuNRs disrupted the mitochondrial potential. With the highest concentration of AuNRs studied, disorganized mitochondrial crests and intermembrane separation were observed in TEM images. These results indicate that AuNRs can interact with mitochondria, disrupting the electron transport chain. This study provides new evidence of the immediate effects of AuNRs on mitochondrial bioenergetics.;https://doi.org/10.1016/j.tox.2018.12.002
%C3%A1bner-magalh%C3%A3es-nunes-4a8870197;3;;Molecular Crystals and Liquid Crystals;01-12-2017;The present manuscript is devoted to the study of the nonlinear optical absorption of a smectic liquid crystal doped with gold nanorods in the presence of an external electric field. By using Z-scan technique in the configuration of fully open aperture and normal incidence, we analyze the changes in the absorption coefficient of a homeotropic sample upon laser exposure. Our results reveal that the electric field may suppress the nonlinear absorption of the samples well bellow to smectic-A-nematic transition temperature. The effects of the external electric field on the interplay between smectic order and plasmon resonance are analyzed.;https://doi.org/10.1080/15421406.2017.1402631
%C3%A1bner-magalh%C3%A3es-nunes-4a8870197;4;;Physical Review E;01-12-2017;The present study is devoted to the investigation of the nonlinear optical properties of a smectic liquid crystal doped with gold nanorods. Using the Z-scan technique, we investigate the changes in the optical birefringence of a homeotropic sample upon laser exposure, considering the configurations of normal and oblique incidence. Our results reveal that the birefringence variations may be governed by distinct physical mechanisms, depending on the relative angle between the far-field director and the wave vector of the excitation laser beam. In particular, we observe that the position dependence of the far-field transmittance exhibits different behaviors as the incidence angle is changed, indicating that distortions in the beam wavefront may be associated with the thermal lens phenomenon or an optically induced reorientation of the nematic director. The temperature dependence of the nonlinear refractive and absorptive coefficients is investigated close to the smectic-nematic phase transition. A detailed analysis of the interplay between smectic order and plasmon resonance is performed, thus unveiling the capability of plasmonic liquid crystal to be used in optical devices.;https://doi.org/10.1103/PhysRevE.96.062703
%C3%A1bner-magalh%C3%A3es-nunes-4a8870197;5;;Carbohydrate Polymers;01-11-2016;Gold nanorods (AuNRs) are suitable for constructing self-assembled structures for the development of biosensing devices and are usually obtained in the presence of cetyltrimethylammonium bromide (CTAB). Here, a sulfated chitosan (ChiS) and gum arabic (GA) were employed to encapsulate CTAB/AuNRs with the purpose of studying the interactions of the polysaccharides with CTAB, which is cytotoxic and is responsible for the instability of nanoparticles in buffer solutions. The presence of a variety of functional groups such as the sulfate groups in ChiS and the carboxylic groups in GA, led to efficient interactions with CTAB/AuNRs as evidenced through UV\u2013vis and FTIR spectroscopies. Electron microscopies (HR-SEM and TEM) revealed that nanoparticle clusters were formed in the GA-AuNRs sample, whereas individual AuNRs, surrounded by a dense layer of polysaccharides, were observed in the ChiS-AuNRs sample. Therefore, the presented work contributes to the understanding of the driving forces that control the surface interactions of the studied materials, providing useful information in the building-up of gold self-assembled nanostructures.;https://doi.org/10.1016/j.carbpol.2016.07.018
%C3%A1bner-magalh%C3%A3es-nunes-4a8870197;6;2013;Journal of Inorganic Biochemistry;01-02-2016;We synthesized two organometallic diazepam\u2013palladium(II) derivatives by C\u2013H activation of diazepam (DZP) with palladium salts, i.e., PdCl2 and Pd(OAc)2 (OAc = acetate). Both compounds obtained are air stable and were isolated in good yields. The anticonvulsant potential of the complexes, labeled [(DZP)PdCl]2 and [(DZP)PdOAc]2, was evaluated through two animal models: pentylenetetrazole (PTZ)- and picrotoxin (PTX)-induced convulsions. The organometallic DZP\u2013palladium(II) acetate complex, [(DZP)PdOAc]2, significantly increased (p < 0.01 or p < 0.001) latencies and protected the animals against convulsions induced by PTZ and PTX, while the analogous chloro derivative, [(DZP)PdCl]2, was effective (p < 0.01) only in the PTZ model. These effects appear to be mediated through the GABAergic system. The possible mechanism of action of the DZP\u2013palladium(II) complexes was also confirmed with the use of flumazenil (FLU), a GABAA-benzodiazepine receptor complex site antagonist. Herein, we present the first report of the anticonvulsant properties of organometallic DZP\u2013palladium(II) complexes as well as evidence that these compounds may play an important role in the study of new drugs to treat patients with epilepsy.;https://doi.org/10.1016/j.jinorgbio.2015.11.024
%C3%A1bner-magalh%C3%A3es-nunes-4a8870197;7;;Physical Review E;01-10-2015;The present work is devoted to the study of the thermo-optical and nonlinear optical properties of smectic samples containing gold nanoparticles with different shapes. By using the time-resolved Z-scan technique, we determine the effects of nanoparticle addition on the critical behavior of the thermal diffusivity and thermo-optical coefficient at the vicinity of the smectic-nematic phase transition. Our results reveal that introduction of gold nanoparticles affects the temperature dependence of thermo-optical parameters, due to the local distortions in the orientational order and heat generation provided by guest particles during the laser exposure. Further, we show that a nonlinear optical response may take place at temperatures where the smectic order is well established. We provide a detailed discussion of the effects associated with the introduction gold nanoparticles on the mechanisms behind the thermal transport and optical nonlinearity in liquid-crystal samples.;https://doi.org/10.1103/PhysRevE.92.04250
%C3%A1bner-magalh%C3%A3es-nunes-4a8870197;8;;Comptes Rendus Chimie;01-07-2013;Gold nanorods (AuNRs) were obtained via a wet chemistry technique, in aqueous medium, employing crystallization seeds. The kinetics of formation, the aspect ratio, and the selectivity of the particles were evaluated according to the parameters of synthesis: the growth-driving agent, seed, and gold precursor concentrations. In 2\u20134 h, the rod particles attained the expected size and shape under kinetic control, and were stable for at least 2 days. In order to obtain good quality AuNRs in good yields, without enrichment, we suggest keeping the growth-driving agent/gold molar ratio, the AuI/seed ratio, and the concentration of the reagents in the final solution within specific ranges. For example, even if good molar ratios between the reagents are maintained, relatively highly concentrated reaction solutions lead to AuNRs with lower aspect ratios. The main properties of the prepared colloidal systems and the nanoparticles were evaluated by UV\u2013vis spectroscopy and transmission electron microscopy, respectively.;https://doi.org/10.1016/j.crci.2013.01.013
%C3%A1ngel-guill%C3%A9n-casado-a8932817;1;;Forum Calidad;01-02-1998;null;null
%C3%A1ngel-m-su%C3%A1rez-mba-mpa-clu%C2%AE-22314258;1;;null;null;null;null
%C3%A2ngela-crespo-47723693;1;;Cell;20-09-2020;Maternal decidual NK (dNK) cells promote placentation, but how they protect against placental infection while maintaining fetal tolerance is unclear. Here we show that human dNK cells highly express the antimicrobial peptide granulysin (GNLY) and selectively transfer it via nanotubes to extravillous trophoblasts to kill intracellular Listeria monocytogenes (Lm) without killing the trophoblast. Transfer of GNLY, but not other cell death-inducing cytotoxic granule proteins, strongly inhibits Lm...;https://www-cell-com.ezp-prod1.hul.harvard.edu/cell/fulltext/S0092-8674(20)30884-9
%C3%A2ngela-crespo-47723693;2;;Journal of Immunology;06-06-2020;Decidual NK cells (dNK) are the main lymphocyte population in early pregnancy decidual mucosa. Although dNK decrease during pregnancy, they remain present in decidual tissues at term. First trimester dNK facilitate trophoblast invasion, provide protection against infections, and were shown to have many differences in their expression of NKRs, cytokines, and cytolytic capacity compared with peripheral blood NK cells (pNK). However, only limited data are available on the phenotype and function of...;https://www.jimmunol.org/content/early/2020/05/05/jimmunol.1901435
%C3%A2ngela-crespo-47723693;3;08;PNAS;09-02-2018;Understanding how decidual CD8+ T cell (CD8+ dT) cytotoxicity is regulated and how these cells integrate the competing needs for maternal-fetal tolerance and immunity to infection is an important research and clinical goal. Gene-expression analysis of effector-memory CD8+ dT demonstrated a mixed transcriptional signature of T cell dysfunction, activation, and effector function. High protein expression of coinhibitory molecules PD1, CTLA4, and LAG3, accompanied by low expression of cytolytic...;https://www.pnas.org/content/115/2/385.long
%C3%A2ngela-crespo-47723693;4;02-01;Proceedings of the National Academy of Sciences;31-12-2016;The etiology of pregnancy complications such as miscarriage, preterm birth, and preeclampsia are largely unknown. The combination of the maternal Killer Immunoglobulin-like Receptor-2DS1 (KIR2DS1) with fetal HLA-C was identified as a factor determining risk of pregnancy complications. Thus decidual natural killer cells (dNK) that express high levels of KIR may have a predominant role in pregnancy outcome. Although the dNK effect has been associated with cytokine and growth factor production to...;http://www.pnas.org/content/113/52/15072.abstract
%C3%A2ngela-crespo-47723693;5;08;Journal of Reproductive Immunology;02-09-2016;To establish a healthy pregnancy the maternal immune system must tolerate fetal allo-antigens, yet remain competent to respond to infections. The ability of decidual NK cells (dNK) to promote migration of fetal extravillous trophoblasts (EVT) and placental growth as well as the capacity of EVT to promote immune tolerance are topics of high interest and extensive research. However, the problem of how dNK and decidual CD8+ T cells (CD8+ dT) provide immunity to infections of the placenta and the...;http://www.sciencedirect.com/science/article/pii/S0165037816300857
