public_identifier;num_accomplishment_organisations;starts_at;ends_at;org_name;title;description
%C3%A9va-enriquez-b66267161;1;;null;Delta Kappa Alpha, Theta Chapter;Design Chair, Editor-in-Chief of the CineJournal;National Professional Gender-Inclusive Cinematic Fraternity.
%C3%A9va-lomuscio-llbsw-48117985;1;30-04-2011;null;Member of Phi Theta Kappa, Beta Gamma Phi Alpha Honor Society, and Kappa Gamma Pi;Vice President of Beta Gamma Phi Alpha Honor Society, 2012-2013;null
%C3%B6mer-batuhan-k%C4%B1r%C4%B1lmaz-19b4634a;1;31-12-2011;null;ITU-MUN;Member;null
%C5%9Felale-anapa-1586a0158;1;31-01-2017;31-05-2018;Eurasia Middle East Society;Secretary;\u2022\tResearch and display news to discuss for weekly meetings\u2022\tCommunicate with members and other campus organizations for collaborative projects\u2022\tDistribute weekly email updates on current events and discussion topics for meetings\u2022\tOrganize and plan the Annual Nowruz (Persian New Year) celebration
%C5%A1erifa-dela-cruz-m-a-09b0ab68;1;;null;NASPA;Member and Presenter;null
%C5%A1erifa-dela-cruz-m-a-09b0ab68;2;;null;National Summit on Collegiate Financial Wellness;Proposal Review Committee;null
%C5%A1erifa-dela-cruz-m-a-09b0ab68;3;;null;Global Food Initiative;Member;null
%C5%A1erifa-dela-cruz-m-a-09b0ab68;4;;null;CASFAA;Presenter 2016;null
%C5%A1erifa-dela-cruz-m-a-09b0ab68;5;;null;NASFAA;null;null
%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-%CF%81%CF%89%CE%BC%CE%B1%CE%BD%CE%BF%CF%82-98a34b34;1;;null;Greek Orthodox Metropolis of Atlanta;null;null
%7Eiyer;1;01-09-2017;null;Asia Pacific Student Entrepreneurship Society (ASES);Community Director;Serving as the co-community director for the 2018-19 academic year.
%7Ekatie-mcavey%7E-20132511b;1;31-03-2000;null;Delta Phi Epsilon International Sorority;President;null
%7Erad;1;;null;Upsilon Pi Epsilon;Member;Computer Science Honor Society
%7Ewendywu;1;01-08-2019;null;Rewriting the Code;Rewriting the Code Fellow;null
%C3%A1gota-supernault-0862a327;1;31-05-2005;null;Zabhegyez\u0151 Gyerekanim\u00e1torok Egyes\u00fclete;Planner;http://www.zabhegyezo.hu
%C3%A1gota-supernault-0862a327;2;31-12-2010;31-08-2014;Friends of the Night People;Volunteer;null
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;1;;null;TeatRUM;President;Non-Profit organization dedicated to the growth of theatrical arts and art in general in the University of Puerto Rico - Mayaguez.  Produced events in collaborations with other non-profit organizations and government agencies to entertain, celebrate Puertorican culture and spread awareness of cultural and social issues.
%C3%A1ngel-guzm%C3%A1n-3040a5a1;1;31-08-2014;null;John Glenn Learning Community;Member;null
%C3%A1ngel-guzm%C3%A1n-3040a5a1;2;31-08-2009;null;Boy Scouts of America;Assistant Scout Master, Senior Patrol Leader, Assistant Patrol Leader;- Eagle Scout and current Assistant Scout Master of Troop 453 from Cayey, Puerto Rico.- Conduct and participate in numerous community service projects.- Help integrate Scout values and attributes with the local community through cultural and educational activities.
%C3%A1ngel-guzm%C3%A1n-3040a5a1;3;31-08-2013;31-05-2014;Program for Advancing in Scholarship and Service (PASS);Member;null
%C3%A1ngel-m-fal%C3%BA-garc%C3%ADa-450386a6;1;01-05-2013;null;Suzuki Asociation of the Americas;-;null
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;1;31-08-2015;null;American Institute of Chemical Engineers (AIChE);Staff Member;null
%C3%A5sa-cervone-2795362;1;;null;Habitat for Humanity;Volunteer;null
%C3%A5sa-cervone-2795362;2;;null;Siemens Business Mentoring Program;Mentor;null
%C3%A5sa-cervone-2795362;3;;null;Siemens WIN@S Mentoring program;Mentor;null
%C3%A5sa-cervone-2795362;4;;null;Siemens Women's Resource Group;Co-Chair;null
%C3%A5sa-cervone-2795362;5;;null;Siemens Women's Resource Group;Mentor;null
%C3%A5sa-cervone-2795362;6;;null;University of Central Florida Eli2 Development Circles;Mentor;null
%C3%A5sa-cervone-2795362;7;;null;Women Unlimited;null;LEAD Program (2014)
%C3%A5seruthmitchell;1;31-07-2015;null;SCGIS;null;null
%C3%A5seruthmitchell;2;31-01-2015;null;AGU;null;null
%C3%A8riq-v-johnson-830b7b75;1;31-07-2015;null;Sustainable Business Alliance;Volunteer;null
%C3%A9ditha-n%C3%A9fertiti-d-almeida-phd-44a40283;1;01-01-2014;null;Women in French WIF;-;null
%C3%A9ditha-n%C3%A9fertiti-d-almeida-phd-44a40283;2;01-10-2012;01-10-2015;Reseau FRED;Pr\u00e9sidente Fondatrice;null
%C5%95%C4%ABzwee%C7%AF-%C2%AEi%E2%84%A2-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-%C2%AE-i%E2%84%A2-jr-388012102;1;01-09-2014;null;You have 2 new life events.;Developer;Founder
%CC%83%CC%89hao-pham-329814181;1;;null;Finance Student Organization;null;Acquire information about finance and engage in organization sponsored social events.
%7Eahmad;1;;null;Institute for Research in Fundamental Sciences (IPM);Student Researcher;null
%7Eahmad;2;;null;Microsoft;-;null
%7Eahmad;3;;null;Sharif University of Technology;-;null
%7Eahmad;4;;null;University of Oregon;-;null
%7Ebryan;1;01-05-2019;01-05-2020;Association for Computing Machinery;Co-President;\u2022 Hosted monthly workshops focused on career development, obtaining internships, and technical interview practice.\u2022 In charge of overseeing the planning and hosting our CSULB\u2019s ACM yearly hackathon. \u2013 cancelled due to global pandemic
%7Ebryan;2;01-11-2018;01-05-2019;Association for Computing Machinery;Hackathon Organizer;\u2022 Helped organize a successful hackathon with 400+ participants and judged submissions for prize categories.\u2022 Acquired sponsorships, assisted with website design, developed a discord server bot, and helped plan the logistics.\u2022 Live site: beachhacks.com
%7Epau;1;01-08-2020;null;Out in STEM;Member;null
%7Epau;2;01-10-2019;null;Society of Hispanic Professional Engineers;Technical Affairs Committee;null
%7Epau;3;01-09-2019;null;Mexican American Engineers and Scientists - Latinos in Engineering and Science;Member;null
%7Epau;4;01-09-2019;null;Student Government Association;Audiovisual Surveillance Technology Committee Representative;null
%7Epau;5;01-08-2019;null;Cyber Security Club;Member;null
%7Epau;6;01-05-2015;31-01-2018;United High School Longhorn Band;Performer in the Wind Ensemble;null
%7Etimpaek;1;01-01-2007;31-12-2012;SIGDIAL (Special Interest Group on Discourse and Dialogue);President;SIGDIAL (http://sigdial.org/) is a Special Interest Group of both ACL (Association for Computational Linguistics) and ISCA (International Speech Communication Association), and is affiliated with AAAI (Association for the Advancement of Artificial Intelligence). As President, I ran the conferences, best paper award selection, endorsements and sponsorships.
%C3%97julia-watkins-575790a6;1;01-08-2011;null;PHI THETA KAPPA;Member;null
%C3%A1damis-f-ortiz-5549a2110;1;31-05-2015;null;National Academy of Opticianry;null;null
%C3%A1ine-tierney-0b2040105;1;;null;American Nurses Association (ANA);null;null
%C3%A1ngel-arias-18b76668;1;;null;Home Inspector;-;null
%C3%A1ngel-garza-reyna-bb7158189;1;31-08-2017;null;QuestBridge;Scholar;\u2022\tEnrolled at one of QuestBridge\u2019s Partner Schools \u2013 Duke University.
%C3%A1ngel-garza-reyna-bb7158189;2;31-08-2018;31-05-2019;QuestBridge;Treasurer;\u2022\tResponsible for organizing all financial aspects of events and communicating with external parties.
%C3%A1ngel-rodr%C3%ADguez-madera-76ab1153;1;;null;SHRM;null;null
%C3%A1sgeir-sigf%C3%BAsson-49099b;1;30-04-2011;null;American Society of Association Executives;null;null
%C3%A2ngela-crespo-ph-d-47723693;1;01-02-2013;null;American Society for Reproductive Immunology;-;null
%C3%A2ngela-crespo-ph-d-47723693;2;01-01-2013;null;American Association of Immunologists;-;null
%C3%A2ngela-crespo-ph-d-47723693;3;01-11-2012;null;Portuguese American Post Graduate Society;Boston Co-Chapter Leader;null
%C3%B1usta-carranza-ko-a4663610;1;31-01-2014;null;Latin American Studies Association;null;null
%C3%B1usta-carranza-ko-a4663610;2;31-12-2011;null;International studies Association;null;null
%C3%B6mer-sucu-67511642;1;01-06-2002;null;TURMEPA;-;null
%C5%9Feyla-azoz-ph-d-97156046;1;01-01-2013;null;AiCHE;-;null
%C5%9Feyla-azoz-ph-d-97156046;2;01-01-2013;null;American Chemical Society;-;null
%C5%9Feyla-azoz-ph-d-97156046;3;01-10-2011;null;Turkish Society of Yale Graduates and Professionals;Founder and President;http://www.yale.edu/turkishsociety/#
%C5%9Feyla-azoz-ph-d-97156046;4;01-10-2010;null;Jewish Graduates and Professionals at Yale;P&R and Social Event Organizations;null
%C5%9Feyla-azoz-ph-d-97156046;5;01-10-2012;31-05-2013;Graduate and Professional Student Senate at Yale;Senator;null
%C5%9Feyla-azoz-ph-d-97156046;6;01-10-2012;31-05-2013;Minority Advisory Council;Board Member;null
%C5%9Feyla-azoz-ph-d-97156046;7;01-10-2012;31-05-2013;Yale Entrepreneurial Council;Board member;null
%CE%B1%CE%B3%CE%BE-mba-tonya-johnson-spratley-0b3177112;1;;null;Quilts of Valor;State Coor. of MARYLAND;null
%CE%B1%CE%B3%CE%BE-mba-tonya-johnson-spratley-0b3177112;2;;null;NCDA;null;null
%7E-pankaj-kumar-mandal-%7E-06618542;1;01-08-2014;null;Sage Group Technologies, Inc.;Executive- Market Research;null
%7Earnold;1;;null;Gradescope;null;null
%7Edereksmith;1;01-08-2015;31-12-2015;Information and Systems Security Society;Communications Officer;null
%7Eelena-marie-katsulos-sabbouh%7E-85bb40;1;31-12-2014;null;Clearwater Regional Chamber of Commerce;null;null
%7Eelena-marie-katsulos-sabbouh%7E-85bb40;2;31-07-2014;null;Regional Chamber of Commerce of Clearwater;null;null
%7Eelena-marie-katsulos-sabbouh%7E-85bb40;3;31-01-2014;null;AchieveHERS  Clearwater Regional Chamber of Commerce;null;null
%7Eelena-marie-katsulos-sabbouh%7E-85bb40;4;31-07-2014;31-07-2015;BNI;Success Master;null
%7Eelena-marie-katsulos-sabbouh%7E-85bb40;5;;null;ACHIEVEHERS;null;null
%7Eelena-marie-katsulos-sabbouh%7E-85bb40;6;;null;Better Living for Seniors;null;null
%7Ekristen-harder-90632813;1;31-12-2015;null;North San Antonio Chamber of Commerce;Leadership Lab Alumni;null
%7Ekristen-harder-90632813;2;31-08-2014;null;Resolute Health Hospital;Governing Board Chairman;www.resolutehealth.com
%7Ekristen-harder-90632813;3;28-02-2014;null;Communities in Schools of South Central Texas;Board Member;null
%7Ekristen-harder-90632813;4;30-09-2013;null;New Braunfels Chamber of Commerce;Business Advisory Committee;null
%7Ekristen-harder-90632813;5;31-01-2012;null;Society for Human Resource Management;null;SHRM is the world's largest association devoted to Human Resource Management. Being a member allows me to understand my clients better.
%7Ekristen-harder-90632813;6;31-10-2011;29-02-2016;Hill Country Human Resource Management Association;VP of Programs;http://hchrma15.wildapricot.org
%7Ekristen-harder-90632813;7;30-04-2009;31-12-2013;The Associated General Contractors - San Antonio Chapter;"Chair of Safety Fair Sub-Committee; Golf Tournament Committee Member; Fun Shoot Committee Member";null
%7Enavid;1;01-01-2016;null;Center for Science of Information, NSF STC;Research Assistant;null
%7Enavid;2;01-01-2010;null;IEEE;Graduate Student Member;- Information Theory Society- Signal Processing Society- Power & Energy Society- Computational Intelligence Society- Young Professionals
%7Enavid;3;01-01-2015;31-12-2017;International Neural Network Society (INNS);Student member;null
%7Enavid;4;01-08-2012;31-07-2014;Renewable Energy & Island Sustainability (REIS);Research Assistant;null
%7Enavid;5;01-09-2009;30-06-2011;Iran Telecommunication Research Center;-;null
%7Enavid;6;;null;Smart Campus Energy LAB (SCEL);Graduate Mentor;null
%C3%9Fo%C3%9F%C3%9Fy-cravens-543b5223;1;01-11-2014;null;Frisco Chamber of Commerce;Member;null
%C3%9Fo%C3%9F%C3%9Fy-cravens-543b5223;2;01-11-2014;null;Frisco Chamber of Commerce;Member;null
%C3%9Fo%C3%9F%C3%9Fy-cravens-543b5223;3;01-11-2014;null;Tri-Shield Packaging, LLC;Board Member/Share Holder;null
%C3%9Fo%C3%9F%C3%9Fy-cravens-543b5223;4;01-06-2012;null;Better Business Bureau of North Texas;Member;null
%C3%9Fo%C3%9F%C3%9Fy-cravens-543b5223;5;01-07-2011;null;Beautiful Backyard Living, LLC;Board Member/Share Holder;null
%C3%A1ngel-g-ramos-rosario-009380b4;1;01-08-2018;null;Hispanic Association of College & Universities Alumni Association;Summer Intern 2018 - Pension Benefit Guaranty Corporation / Member;null
%C3%A1ngel-g-ramos-rosario-009380b4;2;01-08-2016;null;Association of Latinos Professionals in Finance and Accounting - Puerto Rico Chapter;Member;null
%C3%A1ngel-g-ramos-rosario-009380b4;3;01-08-2015;null;American Institute of Certified Public Accountants;Member;null
%C3%A1ngel-g-ramos-rosario-009380b4;4;01-08-2017;30-11-2018;Society of Human Resources Management - Puerto Rico Chapter;Member;null
%C3%A1ngel-g-ramos-rosario-009380b4;5;01-08-2017;30-11-2018;Society of Human Resources Management - UPRH Chapter;Member;null
%C3%A1ngel-g-ramos-rosario-009380b4;6;01-08-2013;31-08-2018;Accounting Students Association - UPRH Chapter;Public Relations Officer (2016-2017), Member (2013-Present);Back on my duties as a Public Relations Officer, I was in charged to establish a great image of the associations.  I prepared promotions, weekly bulletin board to share the association\u2019s activities to the affiliate students and professors. I also was an external contact to other universities to coordinate activities.  Finally I administrated Accounting Students Association email and social medias where I photograph the activities and post the necessary pictures to attract other students and people who want it to donate.
%C3%A1ngel-g-ramos-rosario-009380b4;7;01-08-2015;31-05-2016;Enactus - UPRH;Member (Finance Area);null
%C3%A1ngel-g-ramos-rosario-009380b4;8;01-08-2013;31-12-2014;University of Puerto Rico at Humacao\u2019s Choir;Base tone;I sang a base tone in the choir.  I assisted in the majority of the recitals, activities (internal and external).
%C3%A1ngel-g-ramos-rosario-009380b4;9;01-08-2010;31-05-2013;Future Business Leaders of America - PBL;Student Member and Competition Representative;During my years of the association, I was selected as one of the students to represent the high school chapter to participate on the east region competitions.  During this experience, I competed in one category yearly.  The fist one was the Commercial Math Category that I participated, the Entrepreneurship Category that I won 2nd place, and finally the Advanced Excel Category that I won 3rd Place.
%C3%A1ngel-qui%C3%B1ones-24038238;1;29-02-2012;null;National Technical Honor Society;Member;null
%C3%A7a%C4%9Fda%C5%9F-ocak-38328645;1;;null;Board of European Students of Technology (BEST);Alumni;null
%C3%A7a%C4%9Fda%C5%9F-ocak-38328645;2;;null;IAESTE;Alumni;null
%C3%A7etin-%C3%B6zdemir-57272933;1;;null;Swedish Institute;Talker;- In Swedish Institute, I participated some talks about different kinds of topics. We were discussing a topic which is related to social world there.
%C3%A9va-orsz%C3%A1g;1;01-09-1999;null;Hungarian Foreign Scout Association in Exteris;Assistant Officer;null
%C3%B6zge-burgut-7b7885ab;1;;null;AlumniTurk;null;null
%7Ebalke;1;01-05-2018;null;Betz Drive;Creator;Software, firmware, and PCB design for open source motor controllers.
%7Ebalke;2;01-12-2017;31-12-2019;HKN Mu Chapter;Member;null
%7Ebalke;3;01-09-2017;31-05-2019;CalSol;Electrical Systems Design;null
%7Ebalke;4;01-09-2015;30-06-2017;IEEE Student Branch UCLA;-;null
%7Ejeff;1;01-03-2017;31-05-2018;Osceola Youth Engineers Association;Co-Founder and Vice President;null
%7Ejordan-alvarez;1;31-01-2016;null;Pi Lambda Phi Fraternity;President, Vice President of Education and Development, New Member Coordinator;null
%7Ejustinleonard;1;31-05-2014;null;Kappa Sigma Fraternity;Grand Treasurer;I was a founding father of the Kappa Sigma Fraternity on the CSUSM campus as well as it's first Treasurer. Operating on the Executive Committee of the fraternity, I was responsible for our budgeting, fundraising, community service programs, and our support of the Military Heroes Campaign.
%7Ejustinleonard;2;31-08-2013;31-05-2014;Economics Club;Vice President;null
%7Epatricia-thomas-cir%7E-a9b4001;1;;null;Inclusion Advisory Team, Harvard Pilgrim Health Care;null;null
%7Epatricia-thomas-cir%7E-a9b4001;2;;null;Black Leadership Forum, Harvard Pilgrim Health Care;null;null
%7Epatricia-thomas-cir%7E-a9b4001;3;;null;Mentoring Advantage Program,Harvard Pilgrim Health Care;null;null
%C3%A1lvaro-r-obreg%C3%B3n-4a163510b;1;01-01-2013;null;Chicago Mariachi Project;President and Founder;The Chicago Mariachi Project is a federally registered 501(c)(3) nonprofit organization whose mission is to elevate the Art of Mariachi and promote excellence in musicianship through education, coordination and support.As President of the Board of Directors, a volunteer position, I serve as chief executive of the Chicago Mariachi Project.
%C3%A1lvaro-r-obreg%C3%B3n-4a163510b;2;01-01-2008;null;Sones de M\u00e9xico Ensemble;President, Vice President, Board Member;The mission of Sones de M\u00e9xico Ensemble is to promote greater appreciation of Mexican folk and traditional music and culture through innovative performance, education, and dissemination.Board Member, 2008-2009President, 2009-2015Vice President, 2015-present
%C3%A1lvaro-r-obreg%C3%B3n-4a163510b;3;01-01-2007;null;Chicago Public Schools Local School Council;Community Representative;Peter Cooper Dual Language Academy LSC, Community Representative, 2007-2012.Benito Ju\u00e1rez Community Academy LSC, Community Representative, 2008-present.
%C3%A1lvaro-r-obreg%C3%B3n-4a163510b;4;01-01-1998;null;Chicago Symphony Orchestra;Board Member, Co-Chair, Executive Committee Member;Member of the Community Advisory Council (CAC) which seeks to support and promote community engagement in the Chicago Symphony Orchestra since its founding in 1998-2008. Co-Chair of the CAC, 2004-2008 assigned to the Board of Trustees of the Chicago Symphony Orchestra Association and its Executive Committee, 2004-2008.Member of the Board of the Negaunee Music Institute (formerly Institute for Learning, Access and Training) since its founding, 2008-present.
%C3%A1lvaro-r-obreg%C3%B3n-4a163510b;5;01-01-2002;31-12-2010;Mexican Dance Ensemble;-;Primary role in publicity, public relations & outreach.
%C3%A1lvaro-r-obreg%C3%B3n-4a163510b;6;01-01-2005;31-12-2010;National Louis University;Advisory Boards Member;Gidwitz Center for Urban Policy and Community Development Advisory Board, 2005-2008.Proyecto Comunidad Advisory Board, 2007-2010.
%C3%A1ngel-cabrera-6a984177;1;;null;HR Club (Human Resources);null;null
%C3%A1ngel-cabrera-6a984177;2;;null;HSA (Hispanic Student Association);null;null
%C3%A1ngel-cabrera-6a984177;3;;null;LASA (Latin American Student Association);null;null
