public_identifier;num_groups;profile_pic_url;name;url
%7Eyunqi;4;01-5607-06-200-200-00-1631-4084-8501-01-1638-0000-00-53-02-04;Beijing Institute of Technology;https://www.linkedin.com/groups/1779541
%7Eyunqi;5;01-5607-04-02-200-200-00-1631-4194-9380-02-1638-0000-00-01-36-00-06;Beijing Institute of Technology Alumni;https://www.linkedin.com/groups/140245
%C2%A0%C2%A0john-zemek-37460b9;1;01-04-07-00-01-92-92-00-1631-0076-7980-09-1637-8272-00-03-09-00-07-08;Super-Resolution Microscopy (Nanoscopy);https://www.linkedin.com/groups/4239265
%C2%A0%C2%A0john-zemek-37460b9;2;01-04-07-03-92-92-00-1631-0045-8596-05-1637-8272-00-04-08-00-06-01-01-07;Molecular & Precision Med TRI-CON;https://www.linkedin.com/groups/42594
%C2%A0%C2%A0john-zemek-37460b9;3;01-04-07-01-200-200-00-1631-3714-1197-03-1637-8272-00-08-01-05-07-00-08;Microscopy;https://www.linkedin.com/groups/69622
%C2%A0%C2%A0john-zemek-37460b9;4;01-04-07-09-05-200-200-00-1631-3741-0216-05-1637-8272-00-04-06-06-10-04-08;Bio-IT World;https://www.linkedin.com/groups/3141702
%C2%A0%C2%A0john-zemek-37460b9;5;01-5107-93-200-200-00-1631-3970-8546-07-1637-8272-00-07-08-09-03-09-03-04;Single Molecule Biophysics & Biochemistry,see https://www.researchgate.net/profile/Zeno_Foeldes-Papp;https://www.linkedin.com/groups/8474605
%C2%A0%C2%A0john-zemek-37460b9;6;01-04-07-05-200-200-00-1631-3812-4322-08-1637-8272-00-08-03-00-67-05-08-05;Next-Generation Sequencing [Bio-IT World];https://www.linkedin.com/groups/3781654
%C3%A2ric-sapp-08a30b76;1;01-04-07-200-200-00-1631-3631-7478-04-1637-5896-00-09-02-09-04-00-01-00-08;Cleanfax - Cleaning & Restoration Professionals;https://www.linkedin.com/groups/4107910
%C3%A2ric-sapp-08a30b76;2;01-04-07-40-200-200-00-1631-3786-9577-05-1637-5896-00-05-04-04-08-01;Wholesale Carpets & Flooring;https://www.linkedin.com/groups/2894535
%C3%A2ric-sapp-08a30b76;3;01-04-01-75-07-01;IICRC Certified Courses;https://www.linkedin.com/groups/3176389
%C3%A2ric-sapp-08a30b76;4;01-04-07-05-92-92-00-1631-0020-0596-03-1637-5896-00-05-06-01-08;CIRI-Cleaning Industry Research Institute Group;https://www.linkedin.com/groups/1815701
%C3%B6zlem-diker-mba-93b28325;1;01-04-07-07-200-200-00-1631-3817-7234-08-1637-3124-00-08-04-09-05-07-09-05-00;Bridge ATX;https://www.linkedin.com/groups/2713001
%C3%B6zlem-diker-mba-93b28325;2;01-04-07-28-92-92-00-1631-0076-1904-02-1637-3124-00-00-03-67-03-03-09;The Recruiter.com Network;https://www.linkedin.com/groups/42370
%C3%B6zlem-diker-mba-93b28325;3;01-04-07-08-200-200-00-1631-3629-2392-00-1637-3124-00-01-04-01-01;Real Estate Turkey Network - RETWORK;https://www.linkedin.com/groups/1737177
%C3%B6zlem-diker-mba-93b28325;4;01-04-01-75-07-01;Austin Finance, Accounting, Analyst, Investment;https://www.linkedin.com/groups/2788399
%C3%B6zlem-diker-mba-93b28325;5;01-04-07-03-00-200-200-00-1631-3780-2628-02-1637-3124-00-09-05-08;Kforce Finance & Accounting - Austin;https://www.linkedin.com/groups/3895485
%C3%B6zlem-diker-mba-93b28325;6;01-04-07-09-46-200-200-00-1631-3658-0477-04-1637-3124-00-08-37-09-00-02-06-02;Kad\u0131k\u00f6y Anadolu Lisesi Mezunlar\u0131;https://www.linkedin.com/groups/1273237
%C3%B6zlem-diker-mba-93b28325;7;01-5607-01-06-01-200-200-00-1631-4368-7745-05-1637-3124-00-05-09-02-06-08-04;AYD - Al\u0131\u015fveri\u015f Merkezleri ve Yat\u0131r\u0131mc\u0131lar\u0131 Derne\u011fi;https://www.linkedin.com/groups/3776947
%C3%B6zlem-diker-mba-93b28325;8;01-04-07-05-200-200-00-1631-3579-1886-03-1637-3124-00-01-04-03-00-108-58;Texas Young Professionals (Houston, Dallas, San Antonio, Austin & Fort Worth Chapters);https://www.linkedin.com/groups/1773329
%C3%B6zlem-diker-mba-93b28325;9;01-5107-00-200-200-00-1631-4032-9464-03-1637-3124-00-06-04-08;Bogazici Universitesi Mezunlari/Alumni;https://www.linkedin.com/groups/57227
%C3%B6zlem-diker-mba-93b28325;10;01-5607-200-200-00-1631-4012-4838-04-1637-3124-00-01-02-52-66-05-04-00-04-00-07-08;International Business Coalition of Central Texas;https://www.linkedin.com/groups/5134917
%C3%B6zlem-diker-mba-93b28325;11;01-5607-02-09-92-92-00-1631-0093-1686-01-1637-3124-00-00-17-05-01-14-00-02-08-06-08;Austin Top Guns;https://www.linkedin.com/groups/54604
%C3%B6zlem-diker-mba-93b28325;12;01-04-07-92-92-00-1546-9819-2632-01-1637-3124-00-22-07-09-07-01-03-05-06-08-02;Austin Young Chamber;https://www.linkedin.com/groups/2371690
%C3%B6zlem-diker-mba-93b28325;13;01-5107-07-200-200-00-1631-4267-4264-09-1637-3124-00-50;Bogazici University Job Board;https://www.linkedin.com/groups/3675639
%C3%B6zlem-diker-mba-93b28325;14;01-04-07-00-200-200-00-1631-3730-0095-08-1637-3124-00-06-97-08-01-09-03;Kariyer.net;https://www.linkedin.com/groups/1852812
%CE%BAara-lindquist-52b8b251;1;01-04-07-01-200-200-00-1631-3657-6373-03-1636-6140-00-08-44-06-00-07-64-02-05;TCU Career Center Networking Lounge;https://www.linkedin.com/groups/3822376
%CE%BAara-lindquist-52b8b251;2;01-04-07-02-200-200-00-1631-3626-7311-05-1636-6140-00-09-04-01-06-05;NEW YORK CITY JOBS & CAREERS NETWORK;https://www.linkedin.com/groups/1818112
%CE%BAara-lindquist-52b8b251;3;01-04-07-06-09-92-92-00-1631-0055-8260-04-1636-6140-00-09-05-05-08-05-04-82;Chi Omega Fraternity;https://www.linkedin.com/groups/102778
%CE%BAara-lindquist-52b8b251;4;01-04-07-82-200-200-00-1631-3752-7823-05-1636-6140-00-38-03-09-01-20;Texas Christian University - Past & Present;https://www.linkedin.com/groups/101989
%7Emichael%7Emccormick;1;01-04-01-75-07-01;The Project Manager Network - #1 Group for Project Managers;https://www.linkedin.com/groups/37888
%7Emichael%7Emccormick;2;01-04-07-07-03-00-200-200-00-1631-3728-4819-03-1636-8336-00-02-08-03-84-03-09-08;Link Up Milwaukee;https://www.linkedin.com/groups/40129
%7Emichael%7Emccormick;3;01-04-07-05-200-200-00-1631-3769-8487-07-1636-8336-00-04-02-00;Milwaukee Business Professionals;https://www.linkedin.com/groups/138816
%7Emichael%7Emccormick;4;01-04-07-01-200-200-00-1631-3576-7877-08-1636-8336-00-02-00-16-96-09-01;Workday Global Financial Management;https://www.linkedin.com/groups/8267579
%7Emichael%7Emccormick;5;01-5607-02-00-200-200-00-1631-4194-7077-00-1636-8336-00-03-06-07-07-02-03-00;Obstacle Course Racing Network - Mud Run, Spartan, Tough Mudder, Warrior Dash, Tough Guy;https://www.linkedin.com/groups/4754191
%7Emichael%7Emccormick;6;01-04-07-07-92-92-00-1521-1608-5077-06-1636-8336-00-07-06-01-03-04;APICS CSCP;https://www.linkedin.com/groups/59015
%7Emichael%7Emccormick;7;01-04-07-52-63-92-92-00-1521-1563-8615-06-1636-8336-00-03-03-05-07-00-08-08;Milwaukee 7;https://www.linkedin.com/groups/1068887
%7Emichael%7Emccormick;8;01-5107-09-08-200-200-00-1631-4223-1195-08-1636-8336-00-04-45-05-05-03;Project Manager Professional;https://www.linkedin.com/groups/37767
%7Emichael%7Emccormick;9;01-04-07-200-200-00-1631-3704-3156-02-1636-8336-00-09-45-00-01-07-09;Silicon Valley Venture Community;https://www.linkedin.com/groups/80010
%7Emichael%7Emccormick;10;01-04-07-92-92-00-1525-1244-1930-05-1636-8336-00-01-96-08-43-07;Information Security Community;https://www.linkedin.com/groups/38412
%7Emichael%7Emccormick;11;01-04-07-00-92-92-00-1631-0048-6836-09-1636-8336-00-128-01-05-00-05-07-05-04-01;SSRS/ SSIS/ SSAS Group;https://www.linkedin.com/groups/3439545
%7Emichael%7Emccormick;12;01-04-07-79-03-200-200-00-1631-3745-6983-04-1636-8336-00-04-00-01-00-05-08-00;Technical Project Manager Jobs;https://www.linkedin.com/groups/4230158
%7Emichael%7Emccormick;13;01-04-07-200-200-00-1631-3760-3158-09-1636-8336-00-05-90-05-01-07-04;Oracle PL/SQL Programmers & Developers;https://www.linkedin.com/groups/2005072
%7Emichael%7Emccormick;14;01-04-07-92-92-00-1631-0019-7983-09-1636-8336-00-05-01-09-07-01-08;BI Freelance Group;https://www.linkedin.com/groups/3331809
%C3%A1lvaro-gonz%C3%A1lez-hern%C3%A1ndez-35199650;1;01-04-07-03-09-01-200-200-00-1631-3578-2197-05-1636-6176-00-05-00-05-05-07-90-09-03-04;G5 Professionals ( ABB, ALSTOM, GE, SCHNEIDER, SIEMENS );https://www.linkedin.com/groups/3848124
%C3%B6mer-ulu-b1b17554;1;01-5607-02-09-200-200-00-1631-4267-9534-08-1637-3124-00-09-00-07-02-02-01-01-06-02;AUTOMOTIVE SYSTEMS ENGINEERS;https://www.linkedin.com/groups/1862238
%C3%B6mer-ulu-b1b17554;2;01-5107-09-200-200-00-1631-4132-7491-04-1637-3124-00-03-05-01-00;METU Alumni - ODT\u00dc Mezun;https://www.linkedin.com/groups/86052
%C3%B6mer-ulu-b1b17554;3;01-5607-06-03-200-200-00-1631-4204-1926-06-1637-3124-00-02-08-06-05-01-02-02;VeSys;https://www.linkedin.com/groups/2479136
%C3%B6mer-ulu-b1b17554;4;01-04-07-05-200-200-00-1631-0034-3857-04-1637-3124-00-06-05-04-03-07-03-83-00;Sensors Expo & Conference;https://www.linkedin.com/groups/1765437
%C3%B6mer-ulu-b1b17554;5;01-04-07-200-200-00-1631-3613-0236-08-1637-3124-00-01-12-00-03-27-01-03-03;Solar Energy Network;https://www.linkedin.com/groups/96493
%C3%B6mer-ulu-b1b17554;6;01-04-07-08-200-200-00-1631-3655-5390-09-1637-3124-00-06-00-04-01-05-08;Sensors - Inductive, Capacitive, Temperature - Saving Money;https://www.linkedin.com/groups/1771125
%C3%B6mer-ulu-b1b17554;7;01-5607-04-200-200-00-1631-4027-5344-08-1637-3124-00-02-03-54-06-05-06-08;Los Angeles Turkish American Professionals;https://www.linkedin.com/groups/1817738
%C3%B6mer-ulu-b1b17554;8;01-04-07-05-200-200-00-1631-3747-7693-04-1637-3124-00-04-08-04-00-02-07;Car Infotainment;https://www.linkedin.com/groups/1936527
%C3%B6mer-ulu-b1b17554;9;01-5107-200-200-00-1631-4047-6188-03-1637-3124-00-02-01-08-02-03-08-04-00;Marquette University College of Engineering Alumni Association;https://www.linkedin.com/groups/4047663
%C3%B6mer-ulu-b1b17554;10;01-5607-06-92-92-00-1631-0079-3015-04-1637-3124-00-00-05-05-05-02-03-03-03;Turkish Professionals US;https://www.linkedin.com/groups/13617523
%C3%B6mer-ulu-b1b17554;11;01-5607-05-200-200-00-1631-4113-2403-06-1637-3124-00-06-01-10-06-02-00-04;Coda Alumni;https://www.linkedin.com/groups/4794999
%C3%B6mer-ulu-b1b17554;12;01-04-07-04-200-200-00-1631-3620-7601-05-1637-3124-00-03-07-07-02;Surface Acoustic Wave Professionals;https://www.linkedin.com/groups/2230012
%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%B8%D0%BD%D0%B0-%D1%81%D1%83%D1%85%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0-612666a7;1;01-04-07-06-01-92-92-00-1548-0331-0635-07-1636-7148-00-00-03-09-787-03-55-02;Software Testing & Automation;https://www.linkedin.com/groups/55636
%D0%B0%D0%BD%D0%BD%D0%B0-%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0-a17a5746;1;01-04-07-05-01-06-200-200-00-1631-3761-4737-05-1636-8912-00-04-06;TheOwners: \u044d\u043a\u043e\u0441\u0438\u0441\u0442\u0435\u043c\u0430 \u0434\u043b\u044f \u0432\u043b\u0430\u0434\u0435\u043b\u044c\u0446\u0435\u0432 / Ukraine;https://www.linkedin.com/groups/4068024
%7E-%7E-64775083;1;01-5607-03-00-200-200-00-1631-4120-0764-08-1638-1152-00-09-00-09-03-06;Yoga Fanatics;https://www.linkedin.com/groups/3668483
%7E-%7E-64775083;2;01-5607-200-200-00-1631-4187-3640-02-1638-1152-00-02-06-03-03-08-08-57-03;Christian Jobs, Ministry Jobs, Church Jobs, Pastor Jobs;https://www.linkedin.com/groups/3744166
%7Ebrandon;1;01-5607-02-01-92-92-00-1631-0081-6179-01-1637-3772-00-12-84-01-08-01-00-06-07;Microsoft University Recruiting Team;https://www.linkedin.com/groups/12125564
%7Eelizabethabrams;1;01-04-07-03-200-200-00-1631-0044-4876-03-1637-2188-00-06-02-05;Knowledge Management for Legal Professionals;https://www.linkedin.com/groups/87425
%7Eelizabethabrams;2;01-5607-03-92-92-00-1631-0071-2920-09-1637-2188-00-03-02-04-04;Kent School Alumni;https://www.linkedin.com/groups/35489
%7Eelizabethabrams;3;01-04-07-03-200-200-00-1631-3625-5135-06-1637-2188-00-04-08-08-25-06-05-08;Maritime Executive;https://www.linkedin.com/groups/47685
%7Eelizabethabrams;4;01-5607-09-200-200-00-1631-4275-4354-01-1637-2188-00-67-05-02-00-74;Ogilvy: Past, Present & Future;https://www.linkedin.com/groups/75975
%7Eelizabethabrams;5;01-04-07-03-200-200-00-1631-3655-9385-00-1637-2188-00-07-11-42-06-03-08-05;Maritime Group;https://www.linkedin.com/groups/62537
%7Eelizabethabrams;6;01-5607-07-200-200-00-1631-4042-5980-01-1637-2188-00-04-05-03-08-00-04-08-01-00;Sell_Or_Else;https://www.linkedin.com/groups/2888806
%7Eelizabethabrams;7;01-04-07-01-200-200-00-1631-0077-4174-06-1637-2188-00-00-03-09;Digital Marketing;https://www.linkedin.com/groups/62352
%7Eelizabethabrams;8;01-5607-03-200-200-00-1631-4356-5867-06-1637-2188-00-09-08-04-00-00-01-08-00;MMA Global;https://www.linkedin.com/groups/3314
%7Eelizabethabrams;9;01-5607-03-07-92-92-00-1539-9805-0904-06-1637-2188-00-09-05-05-07-01-05-01-02;UW Foster School (Official Group);https://www.linkedin.com/groups/108310
%7Eelizabethabrams;10;01-04-07-04-03-200-200-00-1631-3592-1464-09-1637-2188-00-09-01-01-05;Kings Point Alumni;https://www.linkedin.com/groups/45402
%7Eelizabethabrams;11;01-04-07-59-200-200-00-1631-3595-6377-08-1637-2188-00-09-02-01-05-09-05-265;B2B Technology Marketing Community;https://www.linkedin.com/groups/43707
%7Eelizabethabrams;12;01-5607-05-01-92-92-00-1539-1825-5003-06-1637-2188-00-880-50-06-06-70-04;Cannes Lions International Festival of Creativity;https://www.linkedin.com/groups/1690087
%7Eiyer;1;01-5607-03-92-92-00-1631-0034-0601-01-1638-3564-00-04-03-01-27-03-00;Stanford Consulting Alumni;https://www.linkedin.com/groups/13933600
%C3%A1d%C3%A1m-magdolna-m%C3%A1ria-31825578;1;01-5107-05-200-200-00-1631-4401-9789-06-1636-8048-00-04-121-05-05-82-03-05;Online Resources for Theological Discussions;https://www.linkedin.com/groups/4498770
%C3%A1d%C3%A1m-magdolna-m%C3%A1ria-31825578;2;01-5607-05-200-200-00-1631-4343-0778-03-1636-8048-00-07-995-07-07-04-04;Adev\u0103rat, adev\u0103rat, v\u0103 spun, c\u0103 cine crede \u00een Mine, va face \u015fi el lucr\u0103rile pe care le fac Eu;https://www.linkedin.com/groups/4291142
%C3%A1ngel-brise%C3%B1o-b1585062;1;01-5607-09-200-200-00-1631-4087-5405-07-1636-8768-00-683-29-00;Environmental Consulting Professionals;https://www.linkedin.com/groups/131340
%C3%A1ngel-m-fal%C3%BA-garc%C3%ADa-450386a6;1;01-5607-02-05-63-92-92-00-1631-0003-0299-04-1637-4060-00-06-44-01-04-07-06-09-02;Viola;https://www.linkedin.com/groups/81716
%C3%A1ngel-m-fal%C3%BA-garc%C3%ADa-450386a6;2;01-5607-92-92-00-1631-0103-9511-05-1637-4060-00-08-02-05-06-18-00-09-08;Music Teaching;https://www.linkedin.com/groups/3793086
%C3%A1ngel-m-fal%C3%BA-garc%C3%ADa-450386a6;3;01-04-07-200-200-00-1631-3756-7464-06-1637-4060-00-07-04-02-05-05-05-06;The Violin Network;https://www.linkedin.com/groups/142557
%C3%A1rp%C3%A1d-mikl%C3%B3s-4603477;1;01-04-07-01-200-200-00-1631-3762-3878-03-1637-9064-00-07-09-05-07;BME | M\u0171egyetem | Budapesti M\u0171szaki \u00e9s Gazdas\u00e1gtudom\u00e1nyi Egyetem \u00d6regdi\u00e1k Klub / Alumni Network;https://www.linkedin.com/groups/1602387
%C3%A7i%C3%A7ek-yavuz-9a6382136;1;01-5107-01-05-92-92-00-1631-0109-6044-08-1637-9244-00-07-05-01-09-03-04;AESOP Academy & Advisory;https://www.linkedin.com/groups/10510104
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;1;01-04-07-200-200-00-1631-3696-4856-09-1636-6032-00-02-09-00;Marketing Communication;https://www.linkedin.com/groups/59008
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;2;01-04-07-96-06-200-200-00-1631-3588-7430-01-1636-6032-00-08-08-02-04-04-03-07;International Trade & The Internet;https://www.linkedin.com/groups/1966079
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;3;01-5607-02-200-200-00-1631-4362-0919-00-1636-6032-00-00-08-05-02;YUMED - Yeditepe \u00dcniversitesi Mezunlar\u0131;https://www.linkedin.com/groups/2237569
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;4;01-5607-61-92-92-00-1631-0023-1524-00-1636-6032-00-00-03-883-00-00;MEPS - Steel Prices & Industry News;https://www.linkedin.com/groups/2090332
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;5;01-04-07-200-200-00-1630-9974-7123-06-1636-6032-00-05-94-88-00-02-09;The Partner Marketing Group;https://www.linkedin.com/groups/2237924
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;6;01-04-07-92-92-00-1631-0049-7138-09-1636-6032-00-00-61-58;Turkish Business Network;https://www.linkedin.com/groups/1548977
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;7;01-04-07-03-92-92-00-1630-9985-4370-03-1636-6032-00-06-1175-00-05-080-01-44-21-02;Online Pazarlama Teknikleri-T\u00fcrkiye;https://www.linkedin.com/groups/3441586
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;8;01-5107-04-52-06-200-200-00-1631-4097-3094-03-1636-6032-00-00-02-05-01-07-09;Turkish British Professionals &  Academicians;https://www.linkedin.com/groups/1877632
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;9;01-04-07-03-200-200-00-1631-3662-8675-09-1636-6032-00-79-07-83-01-07-00-07;Future Trends;https://www.linkedin.com/groups/145854
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;10;01-04-07-200-200-00-1631-3757-5549-00-1636-6032-00-07-02-05-07-04-05-07-03-08-00;World Steel & Tube Professionals;https://www.linkedin.com/groups/65820
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;11;01-04-07-60-200-200-00-1631-3757-7607-00-1636-6032-00-06-02-04-06-94;YED\u0130TEPE UNIVERSITY;https://www.linkedin.com/groups/2991568
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;12;01-5107-01-05-200-200-00-1631-3970-4091-07-1636-6032-00-08-06-01-51-07;Yeditepe University;https://www.linkedin.com/groups/1906240
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;13;01-04-07-05-200-200-00-1631-3666-5194-02-1636-6032-00-01-09-09-85-04-08;Turkish Entrepreneurs;https://www.linkedin.com/groups/2283839
%C3%B6zge-%C3%A7ebi%C5%9F%C3%A7i-schneider-7763a111;14;01-5607-200-200-00-1631-4108-8514-02-1636-6032-00-06-01-02-04-04;TurkishTalents;https://www.linkedin.com/groups/76028
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0%D0%B2%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0-%D0%BF%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0%D1%80%D1%91%D0%B2%D0%B0-%D1%82%D0%B0%D0%B1%D1%83%D1%80%D0%B5%D1%82%D0%BA%D0%B8%D0%BD%D0%B0-b66b9a108;1;01-5607-01-200-200-00-1631-4123-6785-06-1637-8740-00-09-06-05-442-01-07;\u0627\u0633\u0645 \u0645\u062c\u0645\u0648\u0639\u0629 \u0627\u0644\u062a\u062c\u0631\u0628\u0629test-ar_AE;https://www.linkedin.com/groups/12041585
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0%D0%B2%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0-%D0%BF%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0%D1%80%D1%91%D0%B2%D0%B0-%D1%82%D0%B0%D0%B1%D1%83%D1%80%D0%B5%D1%82%D0%BA%D0%B8%D0%BD%D0%B0-b66b9a108;2;01-5607-14-200-200-00-1631-4195-9842-06-1637-8740-00-06-03-08-71-40-08;Naam van de testgroep-test_nl_NL;https://www.linkedin.com/groups/12039896
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%81%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2-9a975859;1;01-04-07-03-200-200-00-1631-3703-1058-02-1637-0388-00-08-05-02-01-637-16-07-528;Complete Computer Repair Troubleshooting Solutions;https://www.linkedin.com/groups/4063742
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%81%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2-9a975859;2;01-5607-06-00-200-200-00-1631-4005-4881-05-1637-0388-00-01-04-05;Computer Vision Technologies;https://www.linkedin.com/groups/1349397
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%81%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2-9a975859;3;01-5607-200-200-00-1631-4011-4504-04-1637-0388-00-26-06-07-08-08-02-04;Computer Recycling;https://www.linkedin.com/groups/2353952
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%81%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2-9a975859;4;01-04-07-08-92-92-00-1634-0108-9038-09-1637-0388-00-898-37-09-07-08-68-47-04-18-03;TECH TRADERS;https://www.linkedin.com/groups/4426630
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%81%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2-9a975859;5;01-04-07-05-01-200-200-00-1631-3705-6551-08-1637-0388-00-09-902-03-07;Data Recovery Specialist;https://www.linkedin.com/groups/670717
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D1%81%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2-9a975859;6;01-5607-09-92-92-00-1631-0117-3885-03-1637-0388-00-08-05-00;Laptops and Notebooks;https://www.linkedin.com/groups/3460313
%7Eahmad;1;01-04-01-75-07-01;Iranians in Computing in USA;https://www.linkedin.com/groups/8931861
%7Etimpaek;1;01-04-07-02-200-200-00-1631-3721-9181-01-1637-3124-00-00-05-08-06-00;The Language Technology Group;https://www.linkedin.com/groups/41952
%7Etimpaek;2;01-5607-04-05-92-92-00-1631-0044-7663-01-1637-3124-00-67-90-02-09-78;Microsoft Research Employee & Alumni Network;https://www.linkedin.com/groups/7060091
%7Etimpaek;3;01-04-07-01-200-200-00-1631-3722-9973-09-1637-3124-00-02-09-07-07-02-07-48-09;Microsoft Employees & Alumni;https://www.linkedin.com/groups/91938
%7Etimpaek;4;01-04-07-09-07-200-200-00-1631-3547-3111-08-1637-3124-00-02-18-06-00-20-02;Natural Language Processing People;https://www.linkedin.com/groups/131222
%7Etimpaek;5;01-5607-04-05-92-92-00-1631-0022-6520-07-1637-3124-00-08-05-07-07-76;ConvAI;https://www.linkedin.com/groups/4029348
%7Etimpaek;6;01-04-07-06-05-200-200-00-1631-3760-0919-02-1637-3124-00-09-06-71-07-00;Machine Learning Connection;https://www.linkedin.com/groups/70219
%7Etimpaek;7;01-04-07-07-08-06-92-92-00-1525-1228-9485-05-1637-3124-00-09-03-08-04-00-02-05-09-97;User Experience;https://www.linkedin.com/groups/72842
%C3%B6mer-sucu-67511642;1;01-5607-92-92-00-1631-0085-1516-00-1638-4104-00-04-05-07-09-05;IFRS in Turkey;https://www.linkedin.com/groups/4143039
%C3%B6mer-sucu-67511642;2;01-04-07-02-04-92-92-00-1631-0090-9221-03-1638-4104-00-00-04-09-03-07-04-01-06;Bilgi Teknolojileri Haberleri;https://www.linkedin.com/groups/8134074
%C3%B6mer-sucu-67511642;3;01-04-07-07-02-200-200-00-1631-3797-6749-04-1638-4104-00-03-09-04-09-08;CrestJobs- SAP FICO;https://www.linkedin.com/groups/4020155
