public_identifier;num_accomplishment_honors_awards;title;issuer;issued_on;description
%7Emanishgupta;2;;-;null;\u2022\tReceived Best Paper Award at 5th Annual Symposium on Information Assurance, June 7-8, Empire State Plaza, Albany, NY (Academic Track of 14th Annual New York State Cyber Security Conference)
%7Emanishgupta;3;;-;null;\u2022\tReceived Best Paper Award at 11th Annual New York State Cyber Security Conference, Albany, June 4-5, 2008.
%7Emanishgupta;4;;-;null;\u2022\tNominated and elected to Beta Gamma Sigma, Honor Society of the AACSB (election by invitation and nomination only)
%7Emanishgupta;5;;-;null;\u2022\tReceived SUNY Buffalo PhD Student Achievement Award, 2011
%7Emanishgupta;6;;-;null;\u2022\tNominated and elected to Sigma Xi, the scientific research society, USA (election by nomination only)
%7Eqytang;1;;Peking University;01-11-2016;null
%7Eqytang;2;;Peking University;01-11-2015;null
%7Eqytang;3;;EECS Department, Peking University;01-12-2014;null
%7Eramon;1;2019;University of California, Irvine Dean;30-06-2020;An undergraduate student is eligible for the dean's honor list if they are enrolled in at least 12 units for grades and that quarter's grade point average is 3.5 or higher.
%7Eramon;2;;University of California, Irvine Dean;31-12-2019;An undergraduate student is eligible for the dean's honor list if they are enrolled in at least 12 units for grades and that quarter's grade point average is 3.5 or higher.
%7Eramon;3;;University of California, Irvine Dean;31-12-2016;An undergraduate student is eligible for the dean's honor list if they are enrolled in at least 12 units for grades and that quarter's grade point average is 3.5 or higher.
%7Estay%7Epositive%7E;1;;Science and Technology of Advanced Materials;31-08-2018;null
%7Estay%7Epositive%7E;2;;null;31-05-2018;null
%7Estay%7Epositive%7E;3;;Ruston High School;31-12-2010;null
%7Estay%7Epositive%7E;4;;LA Tech;31-12-2010;null
%7Estay%7Epositive%7E;5;;LA Tech;null;null
%7Etianhuishellyyu;1;;UMSL College of Business;01-12-2012;null
%7Etianhuishellyyu;2;;UMSL College of Business;01-05-2012;null
%7Etianhuishellyyu;3;;Northeast Normal University;01-08-2011;null
%7Etianhuishellyyu;4;;Northeast Normal University;01-08-2011;null
%7Eufarooq;1;;ACM SIGMOBILE;31-10-2018;"\""RuntimeDroid: Restarting-Free Runtime Change Handling for Android Apps\"" selected for ACM SIGMOBILE Research Highlights 2018."
%7Eufarooq;2;;ACM SIGMOBILE MobiSys;31-12-2017;"Best Paper Runner-up Award for the paper \""RuntimeDroid: Restarting-Free Runtime Change Handling for Android Apps\"" at MobiSys'18."
%7Eufarooq;3;;University of California Riverside;30-09-2017;null
%7Eufarooq;4;2010-12;Virtual University of Pakistan;31-08-2010;null
%C3%A1lvaro-franco-64982621;1;2017;ScreenCraft;31-08-2017;null
%C3%A1lvaro-franco-64982621;2;2017;MoreArt;31-05-2017;null
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;1;;U.S. Patent & Trademark Office;01-12-2020;"\""The highest honorary award granted by the Under Secretary of Commerce for Intellectual Property and Director of the United States Patent and Trademark Office.  A Bronze Medal is defined as superior performance characterized by outstanding or significant contributions, which have increased the efficiency and effectiveness of the operating unit.\"
%C3%A2ngela-crespo-47723693;1;;AAI;31-05-2014;null
%C3%A2ngela-crespo-47723693;2;;National Institutes of Health;30-09-2011;null
%C3%A2ngela-crespo-47723693;3;;Funda\u00e7\u00e3o para a Ci\u00eancia e Tecnologia;30-09-2009;null
%C3%A2ngela-crespo-47723693;4;2013;Faculdade de Ci\u00eancias da Universidade de Lisboa;30-09-2006;null
%C3%A2ngela-crespo-47723693;5;2010;Santander-Totta/ Universidade de Lisboa;30-09-2006;null
%C3%A2ngela-crespo-47723693;6;2013;Faculdade de Ci\u00eancias da Universidade de Lisboa;30-09-2005;null
%C3%A9lder-barrios-6b597110b;1;;AT&T NTX;31-12-2019;2017/2018/2019/2020 11Times Top Performance NTX Summit Star
%C3%A9lder-barrios-6b597110b;2;05;AT&T Mobility;31-12-2018;Summit Winner 2015,2016,2017,2018,2019
%C3%A9lder-barrios-6b597110b;3;2018;AT&T Mobility;31-12-2017;Service Excellence Award
%C3%A9lder-barrios-6b597110b;4;;Lincoln/Mercury/Ford/Toyota;31-12-2000;Top sales performance 1997,1998,1999,20002001,2002,2003,2004,2005,2006
%C3%A9lham-asal-sadeghi-729a1517;1;;null;null;null
%C3%A9lodie-vajda-262554a6;1;07-500;Natural Resource Dept. of McGill University;01-09-2014;null
%C3%A9lodie-vajda-262554a6;2;500;Natural Resource Dept. of McGill University;01-08-2014;null
%C3%A9lodie-vajda-262554a6;3;11-000;Natural Resource Dept. of McGill University;01-09-2013;null
%C3%A9va-enriquez-b66267161;1;;Loyola Marymount University English Department;null;A published writer for the piece \u201cStraddling the Line: Displacement and \u2018The Other\u2019 Found Within Jamaica Kincaid\u2019s Characters of the In-Between\u201d in the 2020 edition of the Criterion Journal
%C3%A9va-enriquez-b66267161;2;2019;Loyola Marymount University;null;null
%C3%A9va-enriquez-b66267161;3;;LMU School of Film and Television;null;Sophomore film nomination for Best Animation award at LMU's SFTV Film Outside the Frame film festival.
%C3%A9va-enriquez-b66267161;4;;Loyola Marymount University;null;null
%C3%A9va-enriquez-b66267161;5;;National Charity League;null;Awarded for 400+ hours of service.
%C3%A9va-enriquez-b66267161;6;2019;null;null;Awarded for 100+ hours of service.
%C3%B6zg%C3%BCr-%C3%B6zdemir-b2426716;1;;International CHRIE;31-07-2016;This award is given to an exemplary research publication which was chosen among other publications that are relevant to the field of hospitality and tourism management and that were published in reputable hospitality and tourism journals.
%C3%B6zg%C3%BCr-uca-61250828;1;;Eastern Mediterranean University;01-02-2005;I got many times this certificate because of my achievements during university education and at the end of this education I got 3.4 grade overall.
%C3%B6zg%C3%BCr-uca-61250828;2;;English & Cultural Studies Centres (E.C.S.C.);01-08-1996;Summer School in London
%C3%B8rjan-j%C3%A5thun-0483b2197;1;;Northeastern University;30-04-2019;null
%C5%9Felale-anapa-1586a0158;1;;null;30-09-2018;null
%C5%A1erifa-dela-cruz-m-a-09b0ab68;1;;UCLA Community Programs Office;null;null
%C5%A1erifa-dela-cruz-m-a-09b0ab68;2;;UCLA Community Programs Office;null;null
%D0%B0rtem-potapchyk-889876154;1;;null;01-01-2019;null
%D0%B0rtem-potapchyk-889876154;2;;null;null;null
%D0%B0rtem-potapchyk-889876154;3;;null;null;null
%7Echris;1;01-2019;University of California Berkeley;01-10-2019;Won overall first place at CalHacks 2019
%7Echris;2;;Microsoft;01-10-2019;Awarded by Microsoft at the UC Berkeley Hackathon in October 2019
%7Echris;3;2019;California Institute of Technology (Caltech);01-03-2019;Winner of the Best IoT Hack award at the Caltech Hackathon in March 2019 (Single Person Team)
%7Echris;4;01-2018;University of South Carolina;null;First place winner at the University of South Carolina's hackathon in Spring 2018.
%7Echris;5;01-2018;Georgia Institute of Technology;null;First Place award from NCR at Georgia Tech's Hackathon in Fall 2018
%7Echris;6;02;JPMorgan Chase & Co.;null;Awarded by JPMorgan Chase & Co. in October 2019
%7Echris;7;02;Docusign;null;Awarded by Docusign at the UC Berkeley Hackathon in October 2019
%7Echris;8;03;Clemson University;null;Our customer service oriented chatbot was the 3rd place winner at the CECAS Spark startup competition in February 2019
%7Echris;9;;State Farm Insurance;null;Winner of the Best Community Focused Hack award from State Farm Insurance in March 2019
%7Echris;10;;Uber ATG (Advanced Technologies Group);null;Presented by Uber at the Caltech Hackathon in March 2019
%7Echris;11;2017;Vanderbilt University;null;Winner of the Best IOT Device award at Vanderbilt University's Hackathon in Fall 2017
%7Echris;12;2018;George State University;null;Winner of the best use of an integrated device award at Georgia State University's Hackathon in Fall 2018.
%7Echris;13;2019;Georgia State University;null;Winner of the Best IoT Hack award at the Georgia State Hackathon in March 2019
%7Echris;14;2019;California Institute of Technology (Caltech);null;Winner of the Best Mobile Hack award at the Caltech Hackathon in March 2019  (Single Person Team)
%7Echris;15;2018;University of South Carolina;null;Best voice hack at the University of South Carolina's hackathon in Spring 2018.
%7Echris;16;2018;Georgia Institute of Technology;null;Winner of the best voice hack by Citi Bank at the Georgia Tech hackathon in Fall 2018
%7Echris;17;2018;Vanderbilt University;null;Winner of the Eventbrite API award at Vanderbilt University's Hackathon in Fall 2018
%7Echris;18;2019;Auburn University;null;Winner of the Google Cloud award at Auburn University's Hackathon in February 2019
%7Echris;19;2019;Snapchat;null;Winner of the Snap Kit award at University of Georgia's Hackathon in February 2019
%7Echris;20;2017;Georgia Institute of Technology;null;Finalist at the Georgia Tech Hackathon in Fall 2017
%7Echris;21;2018;The Johns Hopkins University;null;Finalist at the MedHacks Hackathon at The Johns Hopkins University in Fall 2018
%7Echris;22;2019;Vanderbilt University;null;Finalist at the Vanderbilt University Hackathon in Fall 2019
%7Echris;23;;NCR Corporation;null;Winner of the NCR midnight coding challenge at Georgia State University's Hackathon in Fall 2018
%7Edfischer;1;;College of Arts and Science;null;null
%7Elaurafang;1;;Horatio Alger Association;01-05-2019;Received a $10,000 college scholarship
%7Elaurafang;2;;College Board;01-03-2019;null
%7Elaurafang;3;;D303 School Board Community Relations Committee;01-02-2019;For work done with NCD Winter Retreat and for facilitating six other leadership workshops at St. Charles North High School
%7Elaurafang;4;;-;01-11-2018;One of only 4,200 US high school seniors selected
%7Elaurafang;5;;-;01-09-2018;null
%7Elaurafang;6;;College Board;01-07-2018;null
%7Elaurafang;7;;-;01-01-2017;null
%7Emattmiles;1;;University of Arizona;31-05-2018;Awarded for the Spring 2018 semester
%7Emattmiles;2;;University of Arizona;31-01-2018;null
%7Emattmiles;3;;University of Arizona;31-12-2017;Awarded for the Fall 2017 semester
%7Epetershenk;1;70-03;-;01-01-2013;null
%7Erad;1;;Stevens Institute of Technology;null;Every semester awarded Dean's List so far.
%7Erushabh;1;;St. Xavier's College, Mumbai;null;1. I was invited as a student speaker for the Entrepreneurial Cell launch at St. Xavier's college, Mumbai where I discussed about my Entrepreneurial journey.2. Presented about developing an idea, designing the project, gathering data, and the difficulties faced during the entire process to publish the City Explorer project which helps localities navigate through important information like railways, buses, picnic places and others.3. The event was digitally inaugurated by the Prime\u2026
%7Erushabh;2;;null;null;Application Nashik Explorer was featured in Newspapers across the state.
%7Esp;1;;-;null;Earned recognition in the Dean's List every semester Fall 2016 - Fall 2019
%7Esp;2;;-;null;Awarded the President's Scholarship from the University of Maryland
%7Esp;3;;-;null;Ranked #1 at my high school, Western School of Technology, with a 4.0 unweighted GPA and a 5.55 (out of 6) weighted GPA
%7Ewendywu;1;;Acton-Boxborough Regional High School;01-05-2018;Awarded to the top 10 students of the class with the highest weighted GPA
%7Ewendywu;2;;College Board;01-05-2018;Granted to students in the United States who receive scores of 4 or higher on 8 or more of all AP exams taken
%7Eyuxuanliu;1;;-;01-04-2015;Produced out of 50+ teams the best creative pricing, branding and growth strategy for Dairy King,a hypothetical milk producer, to expand market share and increase profitability
%7Eyuxuanliu;2;03;-;01-10-2014;Selected out of 40+ teams to present our conceptual retirement fund, which maximized a 12.5% return with minimal volatility through research of domestic and international assets, to Blackrock executives
%C3%A1gota-supernault-0862a327;1;;Business Deparment;30-04-2014;null
%C3%A1gota-supernault-0862a327;2;;Hospitality Club Advisor;31-05-2011;null
%C3%A1gota-supernault-0862a327;3;;Director of the Hospitality Management Program;31-03-2011;null
%C3%A1ine-boyle-012aa7191;1;;-;01-02-2020;Nominated
%C3%A1ine-boyle-012aa7191;2;;-;01-05-2019;Won
%C3%A1ine-boyle-012aa7191;3;;-;01-04-2019;Nominated
%C3%A1ine-boyle-012aa7191;4;;-;01-01-2015;null
%C3%A1ine-boyle-012aa7191;5;;-;01-01-2014;null
%C3%A1ine-demeo-cipp-us-073191145;1;;null;null;null
%C3%A1ine-demeo-cipp-us-073191145;2;;null;null;null
%C3%A1ine-demeo-cipp-us-073191145;3;;null;null;null
%C3%A1ine-demeo-cipp-us-073191145;4;;null;null;null
%C3%A1ngel-brise%C3%B1o-b1585062;1;00;Comisi\u00f3n M\u00e9xico-Estados Unidos para el Intercambio Educativo y Cultural (COMEXUS);01-08-2016;Graduate studies in the United States of America (The University of Arizona)
%C3%A1ngel-brise%C3%B1o-b1585062;2;;Fundaci\u00f3n Alfredo Harp Hel\u00fa - Fundaci\u00f3n UNAM;01-01-2012;Semester abroad, undergraduate studies in McGill University, Montreal, Canada
%C3%A1ngel-brise%C3%B1o-b1585062;3;;Academia Mexicana de Ciencias;01-07-2011;Summer research internship at Centro de Geociencias, UNAM, performing field and laboratory work for the characterization of the Tilzapotla Ignimbrite in Puebla, Mexico
%C3%A1ngel-brise%C3%B1o-b1585062;4;00-03-00-03;Centro de Nanociencias y Nanotecnolog\u00eda, UNAM;01-06-2010;Summer research internship, understanding the use of X-ray diffractometer to identify mineral phases
%C3%A1ngel-guzm%C3%A1n-3040a5a1;1;;Knowlton School of Architecture;31-05-2020;null
%C3%A1ngel-guzm%C3%A1n-3040a5a1;2;;The Ohio State University;31-12-2018;null
%C3%A1ngel-guzm%C3%A1n-3040a5a1;3;;Ohio Legislative Service Commission;30-11-2017;null
%C3%A1ngel-guzm%C3%A1n-3040a5a1;4;;The Ohio State University;31-05-2017;Spring 2014Spring 2017
%C3%A1ngel-guzm%C3%A1n-3040a5a1;5;;The Ohio State University;31-05-2017;null
%C3%A1ngel-guzm%C3%A1n-3040a5a1;6;;The Ohio State University;31-05-2015;null
%C3%A1ngel-guzm%C3%A1n-3040a5a1;7;;Boy Scouts of America;30-04-2013;null
%C3%A1ngel-m-fal%C3%BA-garc%C3%ADa-450386a6;1;;The Central State University;01-04-2011;null
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;1;;National Science Foundation (NSF);01-05-2020;Recipient of one of the 2020 Graduate Research Fellowship Program fellowship awarded by NSF
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;2;;PRLSAMP;31-08-2019;"-Selected to be a fellow of PRLSAMP-One of the six \""Grand AMP's\""-Funded by the National Science Foundation (NSF)"
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;3;01;American Association for the Advancement of Science (AAAS), Education and Human Resources Programs (EHR), and National Science Foundation (NSF);28-02-2019;"- 1st Place in Undergraduate Poster Presentation at the Emerging Researchers National (ERN) Conference in STEM- Hosted by American Association for the Advancement of Science (AAAS), Education and Human Resources Programs (EHR), and National Science Foundation (NSF).- Presented work on Exploring Stereoselectivity in the Hydrogenation of Bio Renewable Cyrene; work performed at University of Wisconsin-Madison with Dr. George Huber"
%C3%A1ngela-ortez-davis-1442b372;1;;Seattle Met Magazine;30-09-2019;"https://www.seattlemet.com/articles/2019/9/10/seattle-s-100-best-restaurants-right-now\""Brimmer and HeeltapWhen we weren\u2019t looking, Ballard\u2019s gently Asian bistro quietly became one of the most ambitious Mexican-influenced restaurants in town. Credit to owner Jen Doak for being unafraid to shift continents when Angela Ortez-Davis replaced original chef Mike Whisenhunt. Now hibiscus tacos pack dramatic color and subtle sweetness, and a lengthy marinade renders grilled pork shoulder..."
%C3%A1ngela-ortez-davis-1442b372;2;;Seattle Met Magazine;31-08-2019;"https://www.seattlemet.com/articles/2019/8/20/seattle-s-best-private-rooms-for-primo-parties\""Brimmer and HeeltapA canny makeover converted a century-old shed in the back garden of one of Ballard\u2019s loveliest restaurants into the \u201cstudio,\u201d an absurdly quaint little event space that includes a patio and firepit, complete with fleecy orange blankets on cold nights. Any meal (passed apps, sit-down, buffet) that\u2019s built on chef Angela Ortez-Davis\u2019s vibrant flavors feels inherently..."
%C3%A5seruthmitchell;1;;College of Letters & Science - University of California, Berkeley;31-08-2014;null
%C3%A7i%C4%9Fdem-k%C3%B6ro%C4%9Flu-phd-87b57782;1;;BAP (Scientific Research Projects) Committee, Bo\u011fazi\u00e7i University;30-06-2014;null
%C3%A9lice-hennessee-ma-mpa-ba9b2998;1;;Sally Casanova Pre-Doctoral Fellowship;30-06-2014;null
%C3%A9lice-hennessee-ma-mpa-ba9b2998;2;;null;null;null
%C3%A9mile-moura-coelho-da-silva-4961a2129;1;;Phi Kappa Phi;31-08-2020;One of 58 recipients nationwide to receive a Phi Kappa Phi Fellowship, which is based on evidence of graduate potential, undergraduate academic achievement, service and leadership experience, letters of recommendation, personal statement of educational perspective, and career goals.
%C3%A9mile-moura-coelho-da-silva-4961a2129;2;;University of Evansville Cultural Engagement & International Services;30-04-2020;null
%C3%A9mile-moura-coelho-da-silva-4961a2129;3;;University of Evansville Cultural Engagement & International Services;30-04-2020;null
%C3%A9mile-moura-coelho-da-silva-4961a2129;4;201-201;University of Evansville Biology Department;31-05-2019;null
%C3%A9mile-moura-coelho-da-silva-4961a2129;5;;null;31-12-2017;My story was featured on BP's website:https://www.bp.com/en_us/united-states/home/news/features-and-highlights/bp-scholarship-recipients-persistence-pays-off.html
%C3%A9mile-moura-coelho-da-silva-4961a2129;6;;null;null;One of 10 Brazilians to receive a full scholarship from AFS and BP in 2015 for a 10-month study abroad experience in the United States.
%C3%A9mile-moura-coelho-da-silva-4961a2129;7;;University of Evansville;null;All Terms
%C3%B3-tuairisc-g-04330958;1;2009;(by means of CAORC grant);null;null
%C3%B3-tuairisc-g-04330958;2;00-00-01-2019;(ag d\u00e9anamh obair dheonach faoin Sc\u00e9im Phobail Gaeilge);null;null
%C3%B3-tuairisc-g-04330958;3;2007;(through ERTU Consultation Program, VA 22135);null;null
%C3%B3-tuairisc-g-04330958;4;1987;AN ROINN OIDEACHEAIS, Scr\u00faduimhir 84097;null;null
%C3%B3-tuairisc-g-04330958;5;1988;AN ROINN OIDEACHAIS, Scr\u00faduimhir 10925;null;null
%C3%B3-tuairisc-g-04330958;6;1986;Email - registrar@nui.ie;null;null
%C3%B3-tuairisc-g-04330958;7;00-03-00-1986;Email - registry@rcsi.ie;null;null
%C3%B3-tuairisc-g-04330958;8;00-00-00-01-00-09-1984;AN ROINN OIDEACHAIS [L \u00d3 Laidhi, R\u00daNA\u00cd], Scr\u00faduimhir 16522;null;null
%C3%B3-tuairisc-g-04330958;9;2019-2018;Email - info@ihrb.ie;null;null
%C3%B3scar-morill%C3%B3n-27bb0746;1;;American In-House Design Awards by Graphic Design USA;31-05-2015;In the Annual Report category for the layout and design of the Colorado Workforce Investment Act Annual Report for Program Year 2013.
%C3%B3scar-morill%C3%B3n-27bb0746;2;;American In-House Design Awards by Graphic Design USA;31-05-2015;In the Corporate Identity category, the I received an award for the logo and branding design that was created for the Colorado Workforce Development Council.
%C3%B3scar-p%C3%A9rez-posado-95b56bbb;1;97;null;31-12-1996;"Participaci\u00f3n en el Congreso Universitario UNIV'97Seleccionado para la presentaci\u00f3n final en la ciudad de Roma con el trabajo \""El hombre: nace o se hace?\""."
%C3%B6m%C3%BCr-damla-kuru-85b23153;1;;Florida International University;null;The Public Administration, Public Policy, and Public Affairs scholarship is received to attend 2020 ICPSR Summer Program in Quantitative Methods of Social Research.
%C3%B6m%C3%BCr-damla-kuru-85b23153;2;;University of Michigan, The Inter-university Consortium for Political and Social Research (ICPSR) Council;null;null
%C3%B6m%C3%BCr-damla-kuru-85b23153;3;;Natural Hazard Center (through their National Science Foundation-funded program);null;The research project, entitled Post-Irma Relocation and Repopulation in the Face of Rising Seas: Case of Monroe County, Florida is sponsored through a Quick Response Grant from the Natural Hazards Center in Boulder (through their National Science Foundation-funded program).
%C3%B6mer-karaduman-b5456089;1;;Fulbright Association;01-01-2014;2014-2016
%C3%B6zg%C3%BCr-arslan-ayaydin-1826182;1;;University of Illinois at Chicago;31-12-2017;null
%C3%B6zg%C3%BCr-arslan-ayaydin-1826182;2;;UIC;31-12-2015;This award has been given each year since 1966 to honor UIC faculty members chosen by the graduating seniors for their outstanding teaching ability.
%C3%B6zg%C3%BCr-arslan-ayaydin-1826182;3;;European Council;31-12-2004;Leading to the award of my full-time visiting research studies under the supervision of Dr. Aydin Ozkan, in University of York, UK, for the academic year 2005-2006.
%C3%B6zg%C3%BCr-erkarslan-70018416b;1;;Fulbright;31-08-2018;The Fulbright U.S. Student Program is the largest U.S. exchange program offering opportunities for students and young professionals to undertake international graduate study, advanced research, university teaching, and primary and secondary school teaching worldwide. The program currently awards approximately 1,900 grants annually in all fields of study and operates in more than 140 countries worldwide. Fulbright U.S. Student alumni populate a range of professions and include ambassadors,...
%C3%B6zg%C3%BCr-erkarslan-70018416b;2;;Sivil Dusun;31-05-2017;Interviews were conducted with Human Rights NGO\u2019s based in Brussels, Belgium.
%C3%B6zge-terzio%C4%9Flu-598258167;1;;null;30-06-2019;For maintaining a 4.0 gpa or higher every trimester from sophomore to senior year.
%C3%B6zge-terzio%C4%9Flu-598258167;2;2019;null;30-06-2016;I set the school record for farthest throw for a freshman girl.
%C3%BAna-barrett-25299a13;1;2011;Irish Voice newspaper;30-06-2011;Celebrating the accomplishments of Irish and Irish American women professionals for their leadership, business achievement and community involvement.
%C5%95%C4%ABzwee%C7%AF-%C2%AEi%E2%84%A2-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-%C2%AE-i%E2%84%A2-jr-388012102;1;;LinkedIn;01-01-2013;Best developer ever. w534543
%C5%95%C4%ABzwee%C7%AF-%C2%AEi%E2%84%A2-h-1-%E0%AE%AE%E0%AE%AF%E0%AE%B0%E0%AE%B1%E0%AE%B2%E0%AE%B3%E0%AE%B43-j-%C2%AE-i%E2%84%A2-jr-388012102;2;;LinkedIn;01-01-2013;Best Tester ever.
%C5%9Finasi-%C3%A7etinkaya-2075a27b;1;;Ondokuz Mayis Universitesi;null;Ondokuz Mayis Universitesinden birincilikle mezun olmustur.
%CA%8Cou%C7%9D%C9%9F%C9%B9%C9%90%D4%81-%CE%BB-%C9%B9%E1%B4%89%C9%AF%E1%B4%89p%C9%90l%CE%BB;1;;Carnegie Mellon University;31-12-2012;null
%CA%8Cou%C7%9D%C9%9F%C9%B9%C9%90%D4%81-%CE%BB-%C9%B9%E1%B4%89%C9%AF%E1%B4%89p%C9%90l%CE%BB;2;;Hopkinton High School;31-12-2008;null
%CA%8Cou%C7%9D%C9%9F%C9%B9%C9%90%D4%81-%CE%BB-%C9%B9%E1%B4%89%C9%AF%E1%B4%89p%C9%90l%CE%BB;3;;NMSC;31-12-2008;null
%CA%8Cou%C7%9D%C9%9F%C9%B9%C9%90%D4%81-%CE%BB-%C9%B9%E1%B4%89%C9%AF%E1%B4%89p%C9%90l%CE%BB;4;;Carnegie Mellon University;null;2010-2011
%CA%9F%E1%B4%87%E1%B4%80-%CA%9C%E1%B4%8F%E1%B4%98%E1%B4%87-%CA%99%E1%B4%8F%C9%B4%E1%B4%A2%E1%B4%87%CA%80-b713aa18;1;;Pixabay;30-04-2020;Editor Choice Award
