public_identifier;num_articles;title;link;published_date;author;image_url
%C5%9Feyla-azoz-ph-d-97156046;1;19;https://www.linkedin.com/pulse/telehealth-thrives-during-covid-19-survive-seyla-azoz;05-05-2020;By \u015eeyla Azoz, Ph.D.;https://media-exp1.licdn.com/dms/image/C4E12AQGfYUir8NGzGQ/article-cover_image-shrink_180_320/0/1588680973694?e=1642032000&v=beta&t=kIQ8A9rWzollwpwekME_-_9c4Xe8TLvtVcBRXDlfa3g
%C5%BEeljko-bulut-300619;1;2122-30;https://www.linkedin.com/pulse/coriant-groove-g30-data-center-interconnect-solution-zeljko-bulut;08-01-2015;By \u017deljko Bulut;https://media-exp1.licdn.com/dms/image/C5612AQGBEKOGAph5jw/article-cover_image-shrink_180_320/0/1520061216962?e=1636588800&v=beta&t=K8KeYN3WnK-aIKIY0ANVs1Z059KneJ9GGAFrJH5G-gk
%C3%A1ine-cain;1;;https://www.linkedin.com/pulse/binging-lularich-dont-miss-details-controversial-mlm-lularoe-cain;16-01-2021;By \u00c1ine Cain;https://media-exp1.licdn.com/dms/image/C4D12AQEBBCm3UiO_Wg/article-cover_image-shrink_180_320/0/1631812036199?e=1639612800&v=beta&t=RW7lBr-IAQZc1DJTWW0MjXKyOZFu0AM7SI-8YPht0II
%C3%A1ine-cain;2;;https://www.linkedin.com/pulse/look-back-super-tuesday-%C3%A1ine-cain;04-01-2020;By \u00c1ine Cain;https://media-exp1.licdn.com/dms/image/C4E12AQF8XESdcEOF5w/article-cover_image-shrink_180_320/0/1583335927913?e=1639612800&v=beta&t=TctQ9aRWZ1qhVlx7HQ3roZNMUvVkOlFXTt9NSc3M89M
%C3%A1ine-cain;3;2019-200;https://www.linkedin.com/pulse/highlights-from-nrfs-2019-big-show-%C3%A1ine-cain;25-01-2019;By \u00c1ine Cain;https://media-exp1.licdn.com/dms/image/C4E12AQHnWn_IxofRag/article-cover_image-shrink_600_2000/0/1548431847047?e=1639612800&v=beta&t=bfP7UrZwm6qyfn33kkcjAzitxD2yGxrY09QoFZRo5gc
%C3%A1ngel-g-ramos-rosario-009380b4;1;2018;https://www.linkedin.com/pulse/myaslw2018experience-angel-gabriel-ramos-rosario;24-01-2018;By \u00c1ngel G. Ramos Rosario;https://media-exp1.licdn.com/dms/image/C4E12AQE3My_1-teKyw/article-inline_image-shrink_400_744/0/1529862459926?e=1640217600&v=beta&t=CICHMHKf856fDdHUA33jt73heRfFtJSGdQtmr_rEWHU
%C3%A1ngel-z%C3%BA%C3%B1iga-59393028;1;;https://www.linkedin.com/pulse/assistance-requested-%C3%A1ngel-z%C3%BA%C3%B1iga;03-01-2017;By \u00c1ngel Z\u00fa\u00f1iga;https://media-exp1.licdn.com/dms/image/C5612AQH6314jWKQPsQ/article-cover_image-shrink_600_2000/0/1520193845726?e=1639612800&v=beta&t=SL6GbzWfe5WXVu1irOHcMxUDEmfrsoLhlmkknJLi-qs
%D0%B0%D0%BD%D1%82%D0%BE%D0%BD-%D0%B6%D0%B5%D0%BD%D1%81%D0%B0%D0%BD-4aa471164;1;043-0440-043-0435-043-0442-043-043-0442-043-0440-044-0439-0441-0434-0435-043-0430-0435-0442-043-0430-0448-0443-0436-0438-0437-043-044-0443-0434-043-0431-043-0435-0439;https://www.linkedin.com/pulse/moneytoken-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D0%B9-%D1%81%D0%B4%D0%B5%D0%BB%D0%B0%D0%B5%D1%82-%D0%BD%D0%B0%D1%88%D1%83-%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C-%D1%83%D0%B4%D0%BE%D0%B1%D0%BD%D0%B5%D0%B9-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD-%D0%B6%D0%B5%D0%BD%D1%81%D0%B0%D0%BD;24-05-2018;By \u0430\u043d\u0442\u043e\u043d \u0436\u0435\u043d\u0441\u0430\u043d;https://media-exp1.licdn.com/dms/image/C4D12AQHTny_8hZk3tg/article-inline_image-shrink_1000_1488/0/1527199277967?e=1636588800&v=beta&t=ZVDl83WC80FtqpxPux0t4y3ET2AFh9TbcTeIbcwanBk
%D0%B0%D0%BD%D1%82%D0%BE%D0%BD-%D0%B6%D0%B5%D0%BD%D1%81%D0%B0%D0%BD-4aa471164;2;0428-0430-0433-0432-0431-0443-0434-0443-0449-0435-0435-0432-043-0435-0441-0442-0435-0441-0411-043-043-043-0447-0435-0439-043-041-0440-043-0435-043-0442-043-043;https://www.linkedin.com/pulse/%D1%88%D0%B0%D0%B3-%D0%B2-%D0%B1%D1%83%D0%B4%D1%83%D1%89%D0%B5%D0%B5-%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B5-%D1%81-%D0%B1%D0%BB%D0%BE%D0%BA%D1%87%D0%B5%D0%B9%D0%BD-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%BE%D0%BC-productivist-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD-%D0%B6%D0%B5%D0%BD%D1%81%D0%B0%D0%BD;21-05-2018;By \u0430\u043d\u0442\u043e\u043d \u0436\u0435\u043d\u0441\u0430\u043d;https://media-exp1.licdn.com/dms/image/C4D12AQEFlsIRlGj6vw/article-inline_image-shrink_400_744/0/1526926195702?e=1636588800&v=beta&t=3pILHqkv-VkdXaaNCo7dhbK4HSUtV_kz_L-XYikrB1Q
%7Eanthony%7Ekent;1;;https://www.linkedin.com/pulse/simple-easy-beautiful-anthony-kent;02-05-2018;By Anthony Kent, CSP CMP RPA;https://media-exp1.licdn.com/dms/image/C4D12AQE7tDAh2CTtjQ/article-cover_image-shrink_180_320/0/1525225633031?e=1643846400&v=beta&t=5FLXGVPTB0E2IqISF-A8iEKNUSFALTDAJKl9E9HGvx4
%7Eanthony%7Ekent;2;;https://www.linkedin.com/pulse/new-home-ales-superstar-who-next-anthony-kent;20-01-2016;By Anthony Kent, CSP CMP RPA;https://media-exp1.licdn.com/dms/image/C5112AQEehLAzY9Lr4Q/article-cover_image-shrink_180_320/0/1520096642814?e=1643846400&v=beta&t=FnVi-ORUqhY4RPZk2YJNX6s943_pAl1XYsny4M6rqGg
%7Eanthony%7Ekent;3;;https://www.linkedin.com/pulse/residential-construction-estimator-new-super-star-anthony-kent;22-01-2016;By Anthony Kent, CSP CMP RPA;https://media-exp1.licdn.com/dms/image/C5112AQGeo5twt0dZfQ/article-cover_image-shrink_180_320/0/1520061198372?e=1643846400&v=beta&t=SJK9BumWwy23ofsQNf0W7xnbmOAh7YriTSI3hBaisvY
%7Estevenli;1;;https://www.linkedin.com/pulse/interview-brex-co-founders-pedro-franceschi-henrique-dubugras-li;30-01-2019;By Steven Li;https://media-exp1.licdn.com/dms/image/C5612AQFBGUQT5edN_A/article-cover_image-shrink_180_320/0/1564499024886?e=1640217600&v=beta&t=7zRHeIon_BcXCVArlkOZDk9UWIh72v_EgyIWFgmKUS0
%7Estevenli;2;;https://www.linkedin.com/pulse/interview-zoom-ceo-eric-yuan-steven-li;10-01-2019;By Steven Li;https://media-exp1.licdn.com/dms/image/C5612AQHHgf80dxWYgA/article-cover_image-shrink_180_320/0/1562777436628?e=1640217600&v=beta&t=O3_DrtCIa-7aCTL-DlOJ8OrXYWmtMy2cIXeMJjOH9L4
%7Estevenli;3;200;https://www.linkedin.com/pulse/interview-jigar-shah-operating-200-million-venture-fund-steven-li;05-01-2019;By Steven Li;https://media-exp1.licdn.com/dms/image/C5612AQFg0ZsJMapENQ/article-cover_image-shrink_180_320/0/1559693558574?e=1640217600&v=beta&t=K2cf6L7eoqL6Ryz-m8o2ePS3BGREwJL7eS4pX_vi-GU
%C3%A1lvaro-albacete-a1175956;1;00-00;https://www.linkedin.com/pulse/la-nueva-met%%C3%%A0fora-%%C3%%A1lvaro-albacete;23-05-2020;\u00c1lvaro Albacete;https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_13.jpg
%C3%A1lvaro-albacete-a1175956;2;;https://www.linkedin.com/pulse/participar-en-lo-social-un-lugar-el-mundo-%%C3%%A1lvaro-albacete;14-09-2019;\u00c1lvaro Albacete;https://media-exp3.licdn.com/dms/image/C4E12AQHPEGvFQ6AoNQ/article-cover_image-shrink_720_1280/0/1568495689207?e=1628726400&v=beta&t=xRBpwy5thvhtyIxNg0aNXIm8aBaJFFZn1ib0zO87LZ8
%C3%B3rla-fagan-18353624;1;;https://www.linkedin.com/pulse/back-african-nigeria-experiences-%C3%B3rla-fagan;02-01-2016;By \u00d3rla Fagan;https://media-exp1.licdn.com/dms/image/C4D12AQFAB8wYSAsQ5w/article-cover_image-shrink_180_320/0/1520278061424?e=1639612800&v=beta&t=TwV-t0dWzcVEPuLcjuYjqoOJGwuJtZzFRlb3XwpDA0o
%C3%B3rla-fagan-18353624;2;;https://www.linkedin.com/pulse/what-do-kathmandu-%C3%B3rla-fagan;19-05-2015;By \u00d3rla Fagan;https://media-exp1.licdn.com/dms/image/C4D12AQG3MAwOFKRIhQ/article-cover_image-shrink_180_320/0/1520089169451?e=1639612800&v=beta&t=9wiAf1RsB_P6BrPm7-VZ_9peZHEMyZJjzV7pU6Qfbt4
%CE%B1sha-dais-88877269;1;;https://www.linkedin.com/pulse/beyou-%CE%B1sha-dais;14-01-2018;By \u0391sha dais;https://media-exp1.licdn.com/dms/image/C5112AQEODdJSgUEcjA/article-cover_image-shrink_600_2000/0/1534217041265?e=1643241600&v=beta&t=BW2ppWwaPI9eT5_8MZJvsFLcOU4xwQTQguaHBaWtIDc
%CE%B1sha-dais-88877269;2;201-201;https://www.linkedin.com/pulse/you-couch-potato-%CE%B1sha-dais;06-01-2018;By \u0391sha dais;https://media-exp1.licdn.com/dms/image/C5112AQHvNYg2kOwKgg/article-cover_image-shrink_180_320/0/1523013551495?e=1643241600&v=beta&t=VPtsmSUJ_w8IoJD7qM26olURHUAqj01VsvCnzDNq2ik
%CE%B1sha-dais-88877269;3;2026;https://www.linkedin.com/pulse/person-i-inspire-%CE%B1sha-dais;20-01-2018;By \u0391sha dais;https://media-exp1.licdn.com/dms/image/C5112AQGF1RIM0yjvBQ/article-cover_image-shrink_600_2000/0/1521537887561?e=1643241600&v=beta&t=sbzN4tkGIHlNgMNWS4z5Clf9lgcXjRKksq4aeRh2hKM
%7Edave-%7Eisland-13246b;1;;https://www.linkedin.com/pulse/make-best-use-cbrs-dave-island;09-01-2019;By ~Dave ~Island;https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_13.jpg
%7Edave-%7Eisland-13246b;2;;https://www.linkedin.com/pulse/sales-team-sport-dave-island;05-01-2016;By ~Dave ~Island;https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_9.jpg
%7Edave-%7Eisland-13246b;3;;https://www.linkedin.com/pulse/how-sell-nfv-dave-island;27-01-2016;By ~Dave ~Island;https://media-exp1.licdn.com/dms/image/C5612AQFgg6EtSQ14_g/article-cover_image-shrink_180_320/0/1520098557893?e=1642636800&v=beta&t=jiXb_Zlshs0vWgRhenXylEIv81QwsBZUoNZ3hctpsHU
%C3%A9ric-levesque-73bb8123;1;;https://www.linkedin.com/pulse/most-advanced-wearable-technology-%C3%A9ric-levesque;09-01-2017;By \u00c9ric Levesque;https://media-exp1.licdn.com/dms/image/C5612AQHBzs-0ukn5mg/article-cover_image-shrink_600_2000/0/1520110921151?e=1641427200&v=beta&t=fCUe5xqkBhh8UsPW63t1ZI292tgcTjrYI9RoRReT5VI
291261;1;;https://www.linkedin.com/pulse/cutech-venturing-malawi-africa-nachimuthu-arunachalam;19-01-2017;By Nachimuthu Arunachalam;https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_5.jpg
3jcking;1;;https://www.linkedin.com/pulse/asia-business-central-open-networks-jasmine-chan;08-01-2015;By Dr. Jasmine Chan;https://media-exp1.licdn.com/dms/image/C5612AQHH6bZXTi-CJA/article-cover_image-shrink_180_320/0/1520057470726?e=1641427200&v=beta&t=xQ5OhXdTJ4yk8LDFHoNKw8PRvoGY_9zrSinzcISV6cg
a-gupta;1;;https://www.linkedin.com/pulse/my-boss-must-crazy-anshul-gupta;18-01-2020;By Anshul Gupta;https://media-exp1.licdn.com/dms/image/C5612AQHqLYPxItZa6Q/article-cover_image-shrink_180_320/0/1592449094777?e=1641427200&v=beta&t=TSX9XE4VkOjx8tRy--G9-OQY7KQ-cEnpsRfWdNKsiO0
a-gupta;2;2013-03;https://www.linkedin.com/pulse/digital-transformation-3-pillars-you-need-follow-succeed-anshul-gupta;02-01-2020;By Anshul Gupta;https://media-exp1.licdn.com/dms/image/C5612AQFEkk17jfMaOg/article-cover_image-shrink_180_320/0/1591100783623?e=1641427200&v=beta&t=7dbl-We28mvWG2oXlBZjpht9LNV2xZe1KY4QfIsEOcY
aanand-sugavalvu-00399b4a;1;;https://www.linkedin.com/pulse/ok-bored-aanand-sugavalvu;05-05-2020;By Aanand Sugavalvu;https://media-exp1.licdn.com/dms/image/C5612AQEqOZYyDSwOkQ/article-inline_image-shrink_1000_1488/0/1588672246100?e=1636588800&v=beta&t=c8DMbvecNtDG6AwZh8rMG8F5u99lS73nEn5VgF7sbDI
aaronagius;1;;https://www.linkedin.com/pulse/why-you-need-delight-your-customers-aaron-agius;24-01-2019;By Aaron Agius;https://media-exp1.licdn.com/dms/image/C5612AQE3BJdwlOx9Og/article-cover_image-shrink_180_320/0/1569345458253?e=1640822400&v=beta&t=BekW4ZwHvgRRxZiaTGnw8Uqbe23_T0NhV6viG5dvPKg
aaronagius;2;06;https://www.linkedin.com/pulse/6-golden-rules-conversion-optimization-aaron-agius;17-01-2019;By Aaron Agius;https://media-exp1.licdn.com/dms/image/C5112AQGzeS1HwWO5kA/article-cover_image-shrink_180_320/0/1568743473925?e=1640822400&v=beta&t=oUcPXhx1AJzM7lau027IO6epRoaXPcxmOf4sYi9FiDY
aaronagius;3;2019;https://www.linkedin.com/pulse/speaking-brains-language-online-trail-from-audience-customer-agius;10-01-2019;By Aaron Agius;https://media-exp1.licdn.com/dms/image/C5112AQF-kGVI8Gcj6w/article-cover_image-shrink_180_320/0/1568136371221?e=1640822400&v=beta&t=uJDbFKzrM6dVN-IFu12KkVV5bIjErtQJgZh2Qz_rY-w
aarti-ramaswami-1299232;1;;https://www.linkedin.com/pulse/optimizing-your-international-experience-career-aarti-ramaswami;23-01-2016;By Aarti Ramaswami;https://media-exp1.licdn.com/dms/image/C5612AQF6VIeLMY3g-A/article-cover_image-shrink_423_752/0/1520245384056?e=1633564800&v=beta&t=fV2-afGidui060smWXoGyGQ4aBtYC_QD3sHbKVV6uBA
aayush-singhal-838ba119;1;200;https://www.linkedin.com/pulse/use-empty-spaces-strategy-perform-better-work-aayush-singhal;25-01-2019;By Aayush Singhal;https://media-exp1.licdn.com/dms/image/C5112AQG4wZi2rrhNNg/article-cover_image-shrink_180_320/0/1572016875753?e=1643846400&v=beta&t=FO6IxD2LGv0uu7sKg3vBANVuG-2tjtVuKkJbTyrlLJE
aayush-singhal-838ba119;2;;https://www.linkedin.com/pulse/small-fish-big-pond-need-mba-aayush-singhal;22-01-2019;By Aayush Singhal;https://media-exp1.licdn.com/dms/image/C5112AQG8R3u-goZCQg/article-cover_image-shrink_180_320/0/1563196503357?e=1643846400&v=beta&t=5xfJFbzMQL_SVAcpatn0FhDqjjaGCWObi3m_Z4oLFj8
abbastaqi;1;;https://www.linkedin.com/pulse/reminiscences-millenial-abbas-taqi;27-01-2020;By Abbas Taqi;https://media-exp1.licdn.com/dms/image/C5612AQFBXpgNDgk5Zw/article-cover_image-shrink_180_320/0/1598564652432?e=1640217600&v=beta&t=WCdPpEc_ZQwi_IrkYtUc-AFYrTmxQsB9i8rLCa5vLrA
abbastaqi;2;;https://www.linkedin.com/pulse/simplifying-banking-interactions-rise-chatbots-abbas-taqi;28-01-2016;By Abbas Taqi;https://media-exp1.licdn.com/dms/image/C4E12AQFC9_n6MhZ6Yw/article-cover_image-shrink_180_320/0/1520126767034?e=1640217600&v=beta&t=8XM3_UmW7LCKksw4Gv-lZW4qwF9YskO0N6vSr-eQKbU
abbastaqi;3;;https://www.linkedin.com/pulse/what-future-privatebanking-exclusive-personal-digital-abbas-taqi;11-01-2015;By Abbas Taqi;https://media-exp1.licdn.com/dms/image/C4E12AQEZ8fQUvL6wmg/article-cover_image-shrink_180_320/0/1520147459172?e=1640217600&v=beta&t=ohktAkixwgTqa3bqCgXBG5JgR3JnsyF1N-rQ4kghsSc
1188lcw;1;;https://www.linkedin.com/pulse/how-lose-your-kindness-calm-fathers-when-daily-covid-cases-chee-wee;30-01-2021;By LOCK Chee Wee;https://media-exp1.licdn.com/dms/image/C5612AQGDBJMqJIvQqw/article-cover_image-shrink_600_2000/0/1633008427150?e=1640822400&v=beta&t=NTGkL7O8Vus7kBCqcQ5-yY61tR70DN7znYEFJ_fvhLY
1188lcw;2;;https://www.linkedin.com/pulse/top-three-ideas-educate-ourselves-after-olympic-title-lock-chee-wee;31-01-2021;By LOCK Chee Wee;https://media-exp1.licdn.com/dms/image/C5612AQGGXzDuytuR0w/article-cover_image-shrink_600_2000/0/1627699351542?e=1640822400&v=beta&t=0f3OF-JBFhb484pBeetb2-YQLN7k-ljYEma5XuD7HCg
1188lcw;3;2021;https://www.linkedin.com/pulse/2021-hits-misses-market-recovery-e-learning-lock-chee-wee;11-01-2021;By LOCK Chee Wee;https://media-exp1.licdn.com/dms/image/C5612AQHG5ICyXr3tkg/article-cover_image-shrink_600_2000/0/1615425748408?e=1640822400&v=beta&t=ynmdmKrcYEWHeRhtZroaNviVk8bZjiHNaGZ1HwSO0R4
14nstewart;1;;https://www.linkedin.com/pulse/its-data-ian-stewart;20-01-2016;By ian stewart;https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_13.jpg
14nstewart;2;;https://www.linkedin.com/pulse/professional-services-ian-stewart;16-01-2015;By ian stewart;https://media-exp1.licdn.com/dms/image/C5612AQG2WOGBq_8cTg/article-cover_image-shrink_180_320/0/1520087650377?e=1643241600&v=beta&t=CpBTJ8QB4_a05Ffoo6sJPxM9Kzb5F86MCYhPs4l95es
14nstewart;3;;https://www.linkedin.com/pulse/change-management-ian-stewart;01-01-2015;By ian stewart;https://media-exp1.licdn.com/dms/image/C5612AQGoAAAadLUOqA/article-cover_image-shrink_180_320/0/1520056270691?e=1643241600&v=beta&t=5NLjhD5GoLmgWyqxhoChYR-UearJIHMYHLZ-tswQMBQ
a-m-aditya;1;2021;https://www.linkedin.com/pulse/journey-2021-beyond-a-m-aditya;29-01-2021;By A.M. Aditya;https://media-exp1.licdn.com/dms/image/C5612AQG7g0IwE8RY0g/article-cover_image-shrink_180_320/0/1611540547853?e=1632355200&v=beta&t=f7xHOhdGGvgNYC1iEOUx1GHAj2361jkgA3hRH7JrfAE
aaron-ng-43827042;1;;https://www.linkedin.com/pulse/20140702040249-149942636-project-cargo-ex-xingang-cn-to-singapore;02-01-2014;By Aaron Ng;https://media-exp1.licdn.com/dms/image/C5112AQFtbzvtrYG7yg/article-inline_image-shrink_1000_1488/0/1520171339576?e=1635984000&v=beta&t=m3WLHPRnB_NMJb4oZt1GLZWVjPSyXxgUINz9n8hfYZE
aarthisridharan;1;19;https://www.linkedin.com/pulse/shift-towards-tech-enabled-education-covid-19-times-aarthi-sridharan;26-01-2020;By Aarthi Sridharan;https://media-exp1.licdn.com/dms/image/C4E12AQH9K_DUd9bZvw/article-cover_image-shrink_180_320/0/1585200759296?e=1640822400&v=beta&t=VLOoM1-KIHAxLkDdUlooxBoos19KVBY85i9G9_NdB_0
aarthisridharan;2;;https://www.linkedin.com/pulse/whats-your-thinking-hat-aarthi-sridharan;26-01-2020;By Aarthi Sridharan;https://media-exp1.licdn.com/dms/image/C5112AQFsOokfvJ3Psg/article-cover_image-shrink_180_320/0/1572405624953?e=1640822400&v=beta&t=FEBLzhRrkFudjkhEUSQF_eZaGGCFOWb_Uy1KtiVZpHg
%E2%98%81-avinash-mahto-%E2%98%81-72b04354;1;;https://www.linkedin.com/pulse/jenkins-builds-github-avinash-mahto;13-01-2017;By \u2601 Avinash Mahto \u2601;https://media-exp1.licdn.com/dms/image/C5112AQFRnErMDcWFwQ/article-cover_image-shrink_180_320/0/1520136922555?e=1637798400&v=beta&t=cUyFXnONoLX_93snnlex3DhsMkywFWCNb5eJUDv_pjo
%E2%98%81-avinash-mahto-%E2%98%81-72b04354;2;;https://www.linkedin.com/pulse/docker-ansible-avinash-mahto;14-01-2017;By \u2601 Avinash Mahto \u2601;https://media-exp1.licdn.com/dms/image/C5112AQEBOfPgeZnDCQ/article-cover_image-shrink_600_2000/0/1520107999031?e=1637798400&v=beta&t=RMOPOev8fUJlbRbkw6HfQjAZKi_6VBHp_aPdbzGF4zg
23jacob;1;2019;https://www.linkedin.com/pulse/dont-settle-boutique-jacob-puthenparambil;11-01-2017;By Jacob Puthenparambil;https://media-exp1.licdn.com/dms/image/C4D12AQFpmbhbcpsp6A/article-cover_image-shrink_180_320/0/1520200410598?e=1633564800&v=beta&t=_Jsn7zS1HFjlaok_T2CN9ezhMucQ_sghcbBqHmZ85xQ
23jacob;2;;https://www.linkedin.com/pulse/redhill-day-jacob-joseph-puthenparambil;13-01-2016;By Jacob Puthenparambil;https://media-exp1.licdn.com/dms/image/C4D12AQEeti1GhQOelg/article-cover_image-shrink_180_320/0/1520088795705?e=1633564800&v=beta&t=p1P_sSHG0Up8gS4viy2d1nsCr48i8q65jiwLvZUQYQM
23jacob;3;;https://www.linkedin.com/pulse/20140615154721-13674736-fake-friends-with-fake-benefits;15-01-2014;By Jacob Puthenparambil;https://static-exp1.licdn.com/scds/common/u/img/pic/pic_pulse_stock_article_1.jpg
9michaelchua;1;;https://www.linkedin.com/pulse/suez-canal-incident-crisis-opportunity-michael-chua;30-01-2021;By Michael Chua;https://media-exp1.licdn.com/dms/image/C5612AQEux8e04m282g/article-cover_image-shrink_423_752/0/1617085378175?e=1642032000&v=beta&t=kFFcm_8DbhvwiQurknAJm94mRmeuoVcNQ6qkZAvMADo
9michaelchua;2;;https://www.linkedin.com/pulse/you-prepared-inflation-michael-chua;05-01-2020;By Michael Chua;https://media-exp1.licdn.com/dms/image/C5612AQFf53KyCvhSwA/article-cover_image-shrink_180_320/0/1607138533856?e=1642032000&v=beta&t=irsfbG5IYP3L9bgCsQ4yqzf0c2o70t7Lz01J5dV-Mc0
