public_identifier;num_accomplishment_patents;title;issuer;issued_on;description;application_number;patent_number;url
%C3%A1rni-thor-945b;46;;United States;01-02-2008;null;null;D558,884;null
%C3%A1rni-thor-945b;47;;United States;29-10-2007;null;null;7,266,910;https://www.google.com.ar/patents/US7266910?dq=US+7,266,910&hl=is&sa=X&ei=3i7mU4KQLaWg7AaTnYHQBQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;48;;United States;18-10-2007;AFO Light;null;7,270,644;https://www.google.com.ar/patents/US7270644?dq=US+7,270,644&hl=is&sa=X&ei=DS_mU4HvGczn7AaXoIGoDQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;49;;United States;03-05-2007;Early Unloader One application;null;7,198,610;https://www.google.com.ar/patents/US7198610?dq=US+7,198,610&hl=is&sa=X&ei=3S_mU9-AD-6M7AamyYHwDQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;50;;United States;26-10-2006;null;null;D529,180;null
%C3%A1rni-thor-945b;51;;United States;05-10-2006;null;null;D527,825;null
%C3%A1rni-thor-945b;52;;United States;18-08-2006;AFO Dynamic;null;7077818;http://www.google.com/patents/US7077818?dq=Arni+Thor+Ingimundarson&ei=AUOkT6ylM-Gl0QWw6OjoAw
%C3%A1rni-thor-945b;53;;United States;02-06-2006;null;null;US7,037,283;https://www.google.com/patents/US7037283?dq=US7037283&hl=en&sa=X&ei=tzQsVPKOGoSa7gaLhYGABw&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;54;;United States;21-01-2006;null;null;US7,896,827;https://www.google.com/patents/US7896827?dq=US7896827&hl=en&sa=X&ei=LK8hVNOIG6nd7QaUg4DYAw&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;55;;United States;21-01-2006;null;null;US7,896,827;https://www.google.com/patents/US7896827?dq=US7896827&hl=en&sa=X&ei=pDksVI7qGaTa7gabj4GwBQ&ved=0CB8Q6AEwAA
%C3%A1rni-thor-945b;56;;United States;20-10-2005;AFO Dynamic;null;6,945,947;https://www.google.com.ar/patents/US6945947?dq=US+6,945,947&hl=is&sa=X&ei=Wi7mU87AKeyh7AbC4IG4Dg&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;57;;United States;11-06-2005;Unloader One;null;7,713,225;https://www.google.com.ar/patents/US8231560?dq=US+8,231,560&hl=is&sa=X&ei=EDHmU_HKF6PX7Aat2YHwDQ&ved=0CBoQ6AEwAA
%C3%A1rni-thor-945b;58;;United States;29-04-2005;null;null;D503,480;null
%C3%A1rni-thor-945b;59;;United States;29-04-2005;null;null;D503,480;null
%C3%A1rni-thor-945b;60;;United States;10-03-2012;null;null;null;http://www.google.no/patents/US20120204381?pg=PA1&dq=Nina+Bakken&hl=en&sa=X&ei=_167UKjnNuL-4QTh6IDwCw&ved=0CDEQ6AEwAA#v=onepage&q=Nina%20Bakken&f=false
%C3%A1rni-thor-945b;61;;D647,623;null;null;null;null;http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=2&p=1&f=G&l=50&d=PTXT&S1=thorgilsdottir-thora.INNM.&OS=in/thorgilsdottir-thora&RS=IN/thorgilsdottir-thora
%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9-%D0%B4%D0%B0%D1%80%D0%B0%D0%BA%D0%BE%D0%B2-53b08188;1;2116-9800-04-043-0442-18-02-1998-043-043-043-0433-043-0443-0440-043-0432-043-0435-0432-0430-044-0438-043-0442-0435-0433-0440-0438-0440-043-0432-0430-043-043-0430-044-043-0443-043-044-0442-0438-0432-0430-043-044-0442-043-0430-044-0441-0438-0441-0442-0435-043-0430-0430-0432-0442-043-043-0430-0442-0438-0437-0430-0446-0438-0438-0431-0430-043-043-043-0432-0441-043-043-0439-0434-0435-044-0442-0435-043-044-043-043-0441-0442-0438-0421-041-0424-0418-042-0412-041-0421;Russian Federation;18-02-1998;\u043f\u043e\u043b\u043d\u0430\u044f \u0430\u0432\u0442\u043e\u043c\u0430\u0442\u0438\u0437\u0430\u0446\u0438\u044f \u0421\u0431\u0435\u0440\u0431\u0430\u043d\u043a\u0430 \u0420\u0424 \u043d\u0430 \u0443\u0440\u043e\u0432\u043d\u0435 \u041e\u0442\u0434\u0435\u043b\u0435\u043d\u0438\u0435-\u0444\u0438\u043b\u0438\u0430\u043b;980074;980074;null
%7Eharris;1;;United States;04-04-2018;A provisional patent application for the use of machine learning and the cloud within the application of skin diseases.;null;null;https://harrisbeg.com/pdf/skincam_spec.pdf
%7Eminoh;1;;Korea;01-09-2017;null;10-1776094;10-1776094;https://patents.google.com/patent/KR101776094B1/en
%CF%83%CE%BF%CF%8D%CE%BB%CE%B7%CF%82-chrys-%CF%87%CF%81%CF%85%CF%83%CE%AC%CE%BD%CE%B8%CE%BF%CF%85-chryssanthou-82334b59;1;;United States;19-01-1979;Computerized automated analyser for blood grouping, and detection of spesific biological substanses.;null;# 4,130,395;null
%CF%83%CE%BF%CF%8D%CE%BB%CE%B7%CF%82-chrys-%CF%87%CF%81%CF%85%CF%83%CE%AC%CE%BD%CE%B8%CE%BF%CF%85-chryssanthou-82334b59;2;;United States;24-04-1959;"This invention describes a \""zoom\"" microscope";null;# 2,878,720-24;null
%7Ersaraf;1;;United States;18-10-2016;null;US14533437;US14533437;https://patents.google.com/patent/US9471807B1/en
%C3%B8yvind-svensen-45bba473;1;;US8,998,447 B2;null;null;null;null;null
%E5%A4%A7%E5%81%89david-%E9%BB%84-081b1612a;1;;null;01-08-2008;null;null;null;null
%E6%99%93%E6%85%A7-%E8%AE%B8-537531105;1;5207-6362-07-03-6784-04-13-5229-00-5916-89-02-04-13-5229;null;null;null;null;null;null
%E6%A2%A6%E5%85%83-%E6%AF%9B-548720182;1;;China;01-08-2016;null;No.201620230947.6;No.201620230947.6;null
aaron-leong-11879b137;1;;null;10-11-2013;Designed, fabricated and tested successfully a jig, mounted onto a union wing nut to tighten or untighten the connection to a hose using a hydraulic and pump actuator. This device eliminates manual handling of hammering the union lug making it a safer process for high pressure hose installation and removal purposes.;null;201307168-3;null
aarondalmeida;1;02;null;01-07-2010;null;null;null;null
%E6%B5%A9%E6%A5%A0-%E9%99%88-06ba72118;1;04-00-79-8111-5352-04-02-9884-08-66-7684-57-56-00-7535-08-06-21-578;China;12-07-2016;null;null;null;null
aaronleowtheanloon;1;05-26-04-20-08-93-88-05-07-06;null;25-12-2015;\u672c\u5b9e\u7528\u65b0\u578b\u516c\u5f00\u4e86\u4e00\u79cd\u5e26\u4f20\u8f93\u88c5\u7f6e\uff0c\u5177\u6709\u58f3\u4f53\u53ca\u5728\u8be5\u58f3\u4f53\u4e2d\u67b6\u8bbe\u5728\u7b2c\u4e00\u652f\u6491\u8f74\u6240\u8bbe\u7f6e\u7684\u7b2c\u4e00\u69fd\u8f6e\u548c\u7b2c\u4e8c\u652f\u6491\u8f74\u6240\u8bbe\u7f6e\u7684\u7b2c\u4e8c\u69fd\u8f6e\u4e0a\u7684\u8f93\u9001\u5e26\uff0c\u8be5\u5e26\u4f20\u8f93\u88c5\u7f6e\u8fd8\u5305\u62ec\uff1a\u7b2c\u4e00\u5361\u4f4f\u90e8\uff0c\u80fd\u591f\u5c06\u6240\u8ff0\u7b2c\u4e00\u652f\u6491\u8f74\u88c5\u5378\u81ea\u5982\u5730\u5b89\u88c5\u5728\u6240\u8ff0\u58f3\u4f53\u4e0a\uff1b\u7b2c\u4e8c\u5361\u4f4f\u90e8\uff0c\u80fd\u591f\u5c06\u6240\u8ff0\u7b2c\u4e8c\u652f\u6491\u8f74\u88c5\u5378\u81ea\u5982\u5730\u5b89\u88c5\u5728\u6240\u8ff0\u58f3\u4f53\u4e0a\uff1b\u4ee5\u53ca\u5f20\u529b\u8c03\u6574\u88c5\u7f6e\uff0c\u88c5\u5378\u81ea\u5982\u5730\u5b89\u88c5\u5728\u6240\u8ff0\u58f3\u4f53\u4e0a\uff0c\u7528\u4e8e\u81ea\u52a8\u8c03\u8282\u6240\u8ff0\u8f93\u9001\u5e26\u7684\u5f20\u529b\uff0c\u6240\u8ff0\u8f93\u9001\u5e26\u80fd\u591f\u81ea\u5982\u5730\u8fdb\u884c\u66ff\u6362\u3002\u6839\u636e\u672c\u5b9e\u7528\u65b0\u578b\u7684\u5e26\u4f20\u8f93\u88c5\u7f6e\uff0c\u5176\u80fd\u591f\u5728\u73b0\u573a\u6700\u5c0f\u5316\u5730\u4f7f\u7528\u5de5\u5177\u81ea\u5982\u5730\u66ff\u6362\u8f93\u9001\u5e26\u3002;null;CN 205274452 U;"https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Egoogle%2Ecom%2Fpatents%2FCN205274452U%3Fcl%3Dzh&amp;urlhash=6L5b&trk=public_profile_patent-title"
aashishmittal;1;;in;null;The present invention is an intelligent technical system for providing effective counseling to students to increase their academic motivation and career engagement, to help reduce school dropouts and enhance workforce productivity in developing economies. The system employs Artificial Intelligence and Data-Mining to perform the key functions of psychology assessment, applying counseling methodologies, connecting student to relevant opportunities, etc., and uses Gamification techniques to make the process highly engaging and adaptive for young students. The system performs thorough profile building of the user by accounting external data such as student\u2019s performance in school, involvement in various activities, student\u2019s background history, and internal data retrieved through student\u2019s interaction with the system, such as the student\u2019s psychological assessment, identification of education inhibitors, evaluation of personal interests and skills, match of student skills with different career options, etc. Based on student\u2019s profile, the system applies various motivation techniques and conveys related information which would help user take more informed decisions to achieve their goals. The system employs various methods for maintaining efficient and long-lasting user engagement with the system, including Gamification and native-language based interaction for conveying the data. It also performs feedback provision and goal-setting for the student to make outcomes tangible, and consolidates data from multiple students for getting insights into the high-level trends and metrics in student engagement with academics, which can be shared with interested parties such as NGOs and government departments for broader investigations and actions.;null;null;null
aazubel;1;;null;02-11-2007;A system is provided for executing a system call originating in a local computer on a first remote computer connected to the local computer via a network. Communication is established between the local computer and the first remote computer via the network. A syscall server is installed in the first remote computer. A reference address is sent from the first remote computer to the local computer via the network through execution of code by the syscall server. A syscall request is built in the...\nA system is provided for executing a system call originating in a local computer on a first remote computer connected to the local computer via a network. Communication is established between the local computer and the first remote computer via the network. A syscall server is installed in the first remote computer. A reference address is sent from the first remote computer to the local computer via the network through execution of code by the syscall server. A syscall request is built in the local computer with arguments determined using the reference address received from the first remote computer. The syscall request is sent from the local computer to the first remote computer via the network. The syscall request is copied into a stack of the first remote computer through execution of code by the syscall server. Registers are popped from the syscall request in the stack. Execution of a syscall request is initiated on the first remote computer. The result of the syscall request is pushed onto the stack. At least a portion of the result of the syscall request is sent to the local computer via the network through execution of code by the syscall server.\nShow moreShow less;null;7,277,937;"https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Egoogle%2Egm%2Fpatents%2FUS7277937&amp;urlhash=Rb1n&trk=public_profile_patent-title"
aashitkamath;1;;United States;03-04-2014;null;20140091372;20140091372;null
aashitkamath;2;;United States;12-12-2013;null;20130328138;20130328138;null
%E7%B4%AB%E4%BB%B2-%E3%81%84-%E3%81%A1-%E5%8A%89-8121995a;1;771-7406-5927-05-66-04-01-07-01-07-07-53-04-01-734-72-00;null;26-03-2011;"\u771f   \u7406   \u5927   \u5b66   \u4f01   \u7ba1   \u7cfb   \u7cfb   \u53cb   \u4f1a<\u734e   \u72c0>\u4f01  \u7ba1  \u7cfb  \u4e8c  \u5e74  \u7d1a  A  \u73ed  \u5289  \u7d2b\u4ef2     \u540c  \u5b78\u56e0  \u5b66  \u696d   \u6210  \u7e3e  \u8207  \u5e73  \u6642  \u8868  \u73fe  \u826f  \u597d ,\u71b1  \u5fc3  \u70ba  \u7cfb  \u4e0a  \u670d  \u52d9 ;\u7279  \u9812  \u734e  \u72c0  \u4ee5  \u8cc7  \u8868  \u63da ,\u4f01  \u7ba1  \u7cfb  \u7cfb  \u53cb  \u4f1a\u7406  \u4e8b  \u9577  :\u6797     \u660e     \u5112";null;\u771f  \u7406  \u5927  \u5b66  \u7cfb   \u4e3b   \u4efb   :  \u6797   \u5fd7   \u658c   \u526f  \u6559  \u6388;null
